P,V,A
48.83,-0.17,-3.81
48.82,-0.31,-3.81
48.79,-0.51,-3.82
48.76,-0.64,-3.83
48.73,-0.81,-3.83
48.68,-0.96,-3.84
48.65,-1.11,-3.83
48.63,-1.21,-3.81
48.60,-1.35,-3.79
48.55,-1.50,-3.79
48.46,-1.67,-3.81
48.38,-1.85,-3.81
48.32,-1.97,-3.81
48.25,-2.10,-3.81
48.15,-2.28,-3.79
48.08,-2.40,-3.77
48.03,-2.48,-3.75
47.94,-2.61,-3.73
47.89,-2.68,-3.70
47.74,-2.88,-3.72
47.62,-3.04,-3.74
47.49,-3.20,-3.73
47.33,-3.37,-3.74
47.30,-3.39,-3.68
47.11,-3.60,-3.70
46.98,-3.73,-3.70
46.78,-3.94,-3.73
46.59,-4.13,-3.75
46.42,-4.27,-3.73
46.29,-4.37,-3.72
46.08,-4.55,-3.72
45.85,-4.74,-3.74
45.71,-4.84,-3.72
45.45,-5.06,-3.75
45.17,-5.34,-3.83
44.87,-5.59,-3.87
44.62,-5.75,-3.86
44.36,-5.92,-3.86
44.00,-6.23,-3.93
43.76,-6.40,-3.95
43.48,-6.55,-3.93
43.17,-6.82,-4.01
42.77,-7.13,-4.07
42.50,-7.29,-4.08
42.19,-7.45,-4.07
41.89,-7.58,-4.05
41.70,-7.62,-3.99
41.37,-7.77,-3.98
41.07,-7.96,-4.01
40.72,-8.14,-4.01
40.50,-8.19,-3.97
40.14,-8.35,-3.95
39.83,-8.43,-3.91
39.65,-8.41,-3.83
39.31,-8.46,-3.75
39.00,-8.60,-3.75
38.60,-8.77,-3.75
38.37,-8.81,-3.71
37.93,-8.93,-3.66
37.56,-9.04,-3.64
37.25,-9.17,-3.64
36.91,-9.21,-3.57
36.67,-9.25,-3.53
36.29,-9.35,-3.50
36.08,-9.32,-3.43
35.65,-9.40,-3.37
35.37,-9.45,-3.34
34.97,-9.56,-3.32
34.74,-9.54,-3.25
34.37,-9.61,-3.21
34.05,-9.70,-3.20
33.72,-9.69,-3.12
33.54,-9.59,-3.01
33.25,-9.53,-2.92
32.80,-9.69,-2.93
32.53,-9.71,-2.89
32.11,-9.82,-2.88
31.66,-10.07,-2.96
31.03,-10.45,-3.09
30.61,-10.64,-3.13
30.03,-10.93,-3.21
29.27,-11.25,-3.27
28.76,-11.47,-3.32
28.33,-11.53,-3.28
27.96,-11.61,-3.26
27.45,-11.74,-3.25
27.14,-11.72,-3.18
26.71,-11.74,-3.13
26.17,-11.89,-3.13
25.67,-12.13,-3.20
25.17,-12.22,-3.17
24.74,-12.35,-3.18
24.10,-12.61,-3.24
23.69,-12.68,-3.22
22.99,-13.01,-3.32
22.33,-13.27,-3.38
21.80,-13.48,-3.43
21.27,-13.53,-3.37
20.80,-13.66,-3.38
20.17,-13.84,-3.39
19.78,-13.84,-3.34
19.23,-13.89,-3.29
18.66,-13.95,-3.24
18.19,-14.06,-3.24
17.66,-14.01,-3.13
17.19,-14.16,-3.16
16.36,-14.28,-3.12
16.00,-14.18,-3.02
15.40,-14.31,-3.02
14.82,-14.57,-3.10
14.12,-14.80,-3.15
13.57,-14.81,-3.08
12.96,-15.05,-3.16
12.09,-15.51,-3.32
11.49,-15.72,-3.38
10.79,-15.90,-3.39
10.09,-16.04,-3.39
9.46,-16.27,-3.45
8.81,-16.31,-3.38
8.41,-16.20,-3.27
7.82,-16.17,-3.18
7.46,-15.99,-3.03
6.86,-15.97,-2.95
6.23,-16.19,-3.02
5.34,-16.50,-3.10
4.84,-16.57,-3.08
4.09,-16.73,-3.10
3.30,-17.14,-3.25
2.52,-17.30,-3.26
1.98,-17.33,-3.22
1.15,-17.44,-3.20
0.98,-17.39,-3.14
