P,V,A
-54.80,-0.11,-0.09
-54.77,-0.09,-0.08
-54.80,-0.11,-0.08
-54.86,-0.15,-0.10
-54.71,-0.04,-0.05
-54.89,-0.18,-0.10
-54.97,-0.23,-0.12
-54.94,-0.20,-0.10
-54.96,-0.21,-0.10
-55.10,-0.31,-0.14
-55.09,-0.29,-0.13
-55.28,-0.43,-0.18
-55.48,-0.56,-0.23
-55.78,-0.76,-0.31
-55.79,-0.74,-0.29
-55.71,-0.65,-0.23
-55.72,-0.63,-0.21
-55.76,-0.63,-0.20
-55.68,-0.55,-0.16
-55.61,-0.47,-0.11
-55.54,-0.39,-0.07
-55.42,-0.28,-0.02
-55.33,-0.19,0.02
-55.26,-0.12,0.05
-55.08,0.03,0.11
-55.04,0.07,0.12
-55.05,0.06,0.12
-55.12,0.02,0.09
-55.20,-0.04,0.06
-55.08,0.07,0.11
-55.20,-0.02,0.06
-55.03,0.12,0.12
-54.88,0.23,0.16
-54.87,0.24,0.16
-54.77,0.30,0.18
-54.66,0.38,0.21
-54.78,0.28,0.15
-54.78,0.28,0.15
-54.70,0.33,0.16
-54.78,0.27,0.12
-55.02,0.08,0.04
-54.82,0.22,0.10
-54.53,0.43,0.19
-54.38,0.53,0.22
-54.32,0.56,0.22
-54.39,0.48,0.18
-54.45,0.41,0.14
-54.36,0.47,0.16
-54.34,0.46,0.15
-54.17,0.56,0.19
-53.98,0.68,0.23
-54.09,0.57,0.17
-54.14,0.50,0.13
-54.18,0.45,0.10
-54.25,0.37,0.06
-54.32,0.30,0.03
-54.57,0.09,-0.06
-54.87,-0.14,-0.17
-54.95,-0.21,-0.19
-55.09,-0.32,-0.23
-55.28,-0.45,-0.27
-55.32,-0.48,-0.27
-55.47,-0.58,-0.30
-55.80,-0.81,-0.39
-55.83,-0.81,-0.37
-56.04,-0.94,-0.42
-56.34,-1.13,-0.48
-56.46,-1.18,-0.48
-56.47,-1.15,-0.44
-56.36,-1.02,-0.37
-56.56,-1.13,-0.40
-56.64,-1.14,-0.38
-56.74,-1.16,-0.37
-56.83,-1.17,-0.36
-56.59,-0.94,-0.24
-56.52,-0.84,-0.19
-56.44,-0.73,-0.13
-56.45,-0.69,-0.11
-56.37,-0.59,-0.06
-56.26,-0.47,-0.00
-56.21,-0.40,0.03
-56.18,-0.35,0.05
-56.24,-0.35,0.05
-56.12,-0.23,0.10
-55.99,-0.11,0.15
-55.95,-0.06,0.16
-56.00,-0.07,0.15
-55.91,0.02,0.18
-55.99,-0.03,0.15
-56.17,-0.14,0.10
-55.92,0.06,0.18
-55.92,0.07,0.18
-55.98,0.05,0.16
-55.96,0.07,0.16
-55.85,0.17,0.20
-55.80,0.21,0.21
-55.80,0.21,0.20
-55.77,0.24,0.20
-55.73,0.27,0.20
-55.73,0.27,0.19
-55.92,0.13,0.12
-56.01,0.07,0.09
-56.11,-0.01,0.05
-56.25,-0.10,0.01
-56.06,0.05,0.08
-56.16,-0.03,0.04
-56.16,-0.02,0.04
-56.00,0.11,0.09
-55.94,0.15,0.11
-55.95,0.15,0.10
-56.03,0.08,0.07
-56.03,0.09,0.07
-55.86,0.21,0.12
-55.55,0.43,0.21
-55.64,0.36,0.17
-55.49,0.45,0.20
-55.34,0.55,0.24
-55.30,0.56,0.23
-55.31,0.54,0.21
-55.27,0.54,0.20
-55.10,0.65,0.24
-55.27,0.49,0.16
-55.20,0.53,0.17
-55.19,0.51,0.15
-55.25,0.44,0.11
-55.34,0.35,0.07
-55.33,0.34,0.06
-55.37,0.29,0.03
-55.51,0.16,-0.02
-55.32,0.29,0.03
-55.37,0.24,0.01
-55.54,0.09,-0.06
-55.40,0.18,-0.01
-55.69,-0.05,-0.11
-55.78,-0.12,-0.14
-55.78,-0.13,-0.14
-55.71,-0.08,-0.11
-55.51,0.06,-0.04
-55.50,0.06,-0.04
-55.30,0.21,0.03
-55.51,0.03,-0.05
-55.42,0.09,-0.02
-55.54,-0.01,-0.07
-55.32,0.15,0.01
-55.31,0.15,0.01
-55.34,0.11,-0.01
-55.16,0.24,0.05
-55.14,0.23,0.04
-55.30,0.11,-0.02
-55.39,0.03,-0.05
-55.27,0.11,-0.01
-55.30,0.08,-0.02
-55.25,0.11,-0.01
-55.05,0.25,0.05
-54.80,0.41,0.12
-54.54,0.59,0.19
-54.62,0.50,0.15
-54.67,0.44,0.11
-54.87,0.27,0.03
-54.90,0.23,0.01
-54.86,0.25,0.02
-55.00,0.12,-0.04
-55.10,0.04,-0.07
-55.13,0.00,-0.08
-55.29,-0.13,-0.14
-55.29,-0.13,-0.13
-55.37,-0.19,-0.15
-55.52,-0.30,-0.20
-55.38,-0.20,-0.14
-55.47,-0.26,-0.16
-55.50,-0.28,-0.16
-55.47,-0.25,-0.14
-55.31,-0.13,-0.08
-55.49,-0.26,-0.14
-55.61,-0.34,-0.17
-55.63,-0.35,-0.16
-55.57,-0.29,-0.13
-55.49,-0.22,-0.09
-55.61,-0.30,-0.12
-55.79,-0.43,-0.17
-55.90,-0.49,-0.19
-55.86,-0.44,-0.16
-55.79,-0.38,-0.13
-55.74,-0.32,-0.09
-55.90,-0.42,-0.13
-56.05,-0.51,-0.17
-56.09,-0.52,-0.17
-56.08,-0.49,-0.14
-56.10,-0.48,-0.13
-56.18,-0.52,-0.14
-56.09,-0.43,-0.10
-56.17,-0.46,-0.10
-56.16,-0.43,-0.09
-56.30,-0.50,-0.12
-56.22,-0.42,-0.07
-56.33,-0.47,-0.09
-56.63,-0.67,-0.18
-56.73,-0.71,-0.19
-56.73,-0.67,-0.16
-56.61,-0.55,-0.10
-56.41,-0.37,-0.01
-56.38,-0.31,0.01
-56.37,-0.29,0.02
-56.11,-0.06,0.12
-55.87,0.13,0.20
-55.73,0.24,0.24
-55.76,0.23,0.22
-55.57,0.37,0.27
-55.49,0.43,0.29
-55.52,0.40,0.26
-55.72,0.25,0.18
-55.75,0.23,0.17
-55.55,0.38,0.22
-55.69,0.26,0.16
-55.87,0.13,0.09
-56.07,-0.02,0.02
-56.00,0.03,0.05
-55.91,0.10,0.08
-55.84,0.15,0.09
-55.96,0.06,0.05
-55.84,0.15,0.09
-55.69,0.26,0.13
-55.80,0.17,0.09
-55.88,0.11,0.05
-55.81,0.16,0.07
-55.78,0.17,0.08
-55.87,0.10,0.04
-55.81,0.14,0.06
-55.87,0.10,0.03
-55.69,0.22,0.09
-55.68,0.22,0.08
-55.70,0.20,0.07
-55.63,0.24,0.08
-55.57,0.27,0.10
-55.44,0.36,0.13
-55.49,0.31,0.10
-55.63,0.19,0.05
-55.82,0.04,-0.02
-55.75,0.09,-0.00
-55.69,0.12,0.01
-55.72,0.09,-0.00
-55.84,-0.00,-0.04
-55.94,-0.08,-0.07
-56.07,-0.18,-0.11
-55.97,-0.10,-0.08
-55.98,-0.11,-0.07
-56.05,-0.16,-0.09
-56.02,-0.13,-0.08
-56.04,-0.15,-0.08
-56.12,-0.21,-0.10
-55.92,-0.05,-0.03
-56.05,-0.14,-0.07
-56.13,-0.20,-0.09
-56.19,-0.24,-0.10
-56.43,-0.41,-0.17
-56.50,-0.45,-0.18
-56.46,-0.40,-0.15
-56.54,-0.44,-0.16
-56.82,-0.63,-0.24
-56.94,-0.70,-0.26
-56.65,-0.46,-0.14
-56.55,-0.36,-0.09
-56.60,-0.37,-0.09
-56.58,-0.34,-0.07
-56.37,-0.17,0.01
-56.54,-0.28,-0.04
-56.75,-0.42,-0.10
-57.08,-0.64,-0.20
-57.19,-0.69,-0.21
-57.22,-0.68,-0.19
-57.14,-0.59,-0.14
-57.15,-0.56,-0.13
-57.32,-0.66,-0.16
-57.19,-0.53,-0.10
-57.02,-0.37,-0.03
-57.03,-0.35,-0.02
-57.07,-0.35,-0.01
-57.10,-0.35,-0.01
-57.24,-0.43,-0.05
-57.26,-0.41,-0.04
-57.25,-0.38,-0.02
-57.37,-0.44,-0.05
-57.26,-0.33,0.00
-57.50,-0.48,-0.06
-57.52,-0.47,-0.05
-57.44,-0.38,-0.01
-57.23,-0.19,0.07
-57.19,-0.14,0.09
-56.96,0.05,0.17
-56.81,0.17,0.22
-56.75,0.22,0.23
-56.34,0.53,0.36
-56.10,0.71,0.42
-56.10,0.69,0.39
-56.03,0.73,0.39
-55.78,0.90,0.45
-55.59,1.01,0.48
-55.60,0.98,0.44
-55.57,0.97,0.41
-55.57,0.93,0.38
-55.30,1.10,0.43
-55.15,1.17,0.45
-54.97,1.26,0.46
-54.92,1.24,0.43
-54.39,1.58,0.56
-53.87,1.90,0.68
-53.44,2.14,0.75
-53.43,2.06,0.68
-53.43,1.96,0.61
-53.79,1.61,0.42
-53.86,1.47,0.34
-53.83,1.42,0.30
-53.91,1.27,0.22
-54.01,1.12,0.15
-54.13,0.96,0.07
-54.34,0.74,-0.03
-54.76,0.37,-0.20
-55.30,-0.08,-0.39
-55.19,-0.04,-0.35
-55.32,-0.16,-0.38
-55.78,-0.53,-0.53
-56.19,-0.84,-0.64
-56.65,-1.19,-0.77
-56.71,-1.21,-0.74
-57.12,-1.50,-0.83
-57.46,-1.72,-0.89
-57.69,-1.84,-0.91
-57.84,-1.90,-0.89
-58.38,-2.25,-1.00
-58.48,-2.25,-0.96
-58.64,-2.29,-0.93
-58.85,-2.35,-0.92
-58.77,-2.21,-0.81
-58.89,-2.20,-0.77
-58.99,-2.19,-0.72
-59.08,-2.15,-0.68
-59.35,-2.26,-0.69
-59.32,-2.13,-0.60
-59.17,-1.91,-0.48
-59.30,-1.90,-0.45
-59.35,-1.84,-0.40
-59.25,-1.66,-0.30
-59.15,-1.49,-0.21
-59.28,-1.49,-0.20
-59.36,-1.46,-0.18
-59.47,-1.44,-0.17
-59.61,-1.45,-0.16
-59.52,-1.28,-0.08
-59.46,-1.15,-0.02
-59.24,-0.90,0.10
-59.20,-0.79,0.14
-58.99,-0.56,0.24
-58.91,-0.43,0.28
-58.98,-0.42,0.27
-58.81,-0.23,0.34
-58.63,-0.05,0.41
-58.65,-0.02,0.40
-58.47,0.16,0.46
-58.25,0.36,0.53
-58.09,0.50,0.57
-58.00,0.59,0.58
-57.80,0.74,0.62
-57.55,0.93,0.68
-57.46,1.00,0.67
-57.56,0.92,0.61
-57.53,0.92,0.58
-57.55,0.90,0.54
-57.35,1.03,0.58
-57.31,1.04,0.55
-57.16,1.13,0.57
-57.03,1.19,0.57
-56.95,1.21,0.55
-56.88,1.23,0.53
-57.10,1.02,0.41
-56.84,1.17,0.46
-56.80,1.16,0.44
-56.81,1.11,0.39
-56.80,1.07,0.36
-56.71,1.09,0.35
-56.70,1.04,0.31
-56.66,1.02,0.29
-56.66,0.98,0.25
-56.69,0.90,0.21
-56.83,0.75,0.13
-56.77,0.75,0.13
-56.85,0.64,0.07
-56.66,0.75,0.12
-56.51,0.81,0.14
-56.35,0.88,0.16
-56.61,0.63,0.04
-56.67,0.54,0.01
-56.80,0.40,-0.06
-56.98,0.24,-0.13
-57.14,0.09,-0.19
-56.99,0.17,-0.14
-56.76,0.31,-0.07
-56.90,0.17,-0.13
-56.81,0.22,-0.11
-56.76,0.23,-0.10
-56.84,0.14,-0.13
-56.89,0.08,-0.15
-56.90,0.05,-0.16
-57.06,-0.09,-0.21
-57.02,-0.07,-0.19
-56.93,-0.02,-0.16
-57.04,-0.11,-0.20
-57.01,-0.11,-0.19
-56.91,-0.04,-0.15
-56.87,-0.02,-0.13
-56.69,0.10,-0.07
-56.61,0.14,-0.05
-56.58,0.15,-0.04
-56.39,0.27,0.01
-56.31,0.31,0.03
-56.35,0.26,0.01
-56.43,0.18,-0.03
-56.58,0.05,-0.09
-56.63,0.01,-0.10
-56.56,0.05,-0.08
-56.58,0.02,-0.09
-56.61,-0.01,-0.10
-56.49,0.07,-0.06
-56.39,0.13,-0.03
-56.29,0.19,0.00
-56.48,0.03,-0.07
-56.36,0.12,-0.03
-56.35,0.11,-0.03
-56.32,0.12,-0.02
-56.44,0.02,-0.07
-56.33,0.10,-0.03
-56.33,0.08,-0.04
-56.27,0.11,-0.02
-56.02,0.29,0.06
-56.05,0.25,0.04
-55.94,0.32,0.07
-56.01,0.25,0.03
-56.14,0.13,-0.02
-56.12,0.13,-0.02
-56.34,-0.04,-0.09
-56.42,-0.10,-0.12
-56.49,-0.16,-0.14
-56.76,-0.36,-0.22
-56.71,-0.32,-0.19
-56.76,-0.35,-0.20
-56.81,-0.38,-0.20
-56.73,-0.31,-0.16
-56.67,-0.26,-0.13
-56.67,-0.25,-0.12
-56.73,-0.29,-0.13
-56.82,-0.35,-0.15
-56.76,-0.29,-0.12
-56.76,-0.28,-0.11
-56.84,-0.33,-0.12
-56.71,-0.22,-0.07
-56.47,-0.03,0.02
-56.62,-0.14,-0.03
-56.60,-0.11,-0.02
-56.60,-0.11,-0.02
-56.48,-0.01,0.03
-56.56,-0.07,-0.00
-56.40,0.06,0.06
-56.48,-0.00,0.03
-56.47,0.01,0.03
-56.31,0.13,0.08
-56.24,0.18,0.10
-56.20,0.20,0.11
-56.23,0.17,0.09
-56.40,0.05,0.03
-56.18,0.21,0.10
-56.23,0.17,0.07
-56.18,0.20,0.09
-56.06,0.28,0.12
-55.97,0.33,0.14
-56.13,0.21,0.07
-56.11,0.22,0.07
-56.26,0.09,0.01
-56.13,0.18,0.06
-56.07,0.22,0.07
-55.90,0.33,0.12
-55.98,0.26,0.08
-56.13,0.14,0.02
-56.23,0.06,-0.02
-56.19,0.07,-0.01
-56.38,-0.07,-0.07
-56.23,0.04,-0.02
-56.45,-0.12,-0.09
-56.57,-0.21,-0.13
-56.52,-0.18,-0.10
-56.59,-0.23,-0.12
-56.55,-0.19,-0.10
-56.31,-0.01,-0.01
-56.15,0.11,0.04
-55.93,0.27,0.11
-55.79,0.37,0.15
-55.88,0.28,0.10
-55.94,0.23,0.07
-55.92,0.23,0.07
-55.89,0.24,0.07
-55.85,0.26,0.08
-55.75,0.32,0.10
-55.93,0.17,0.03
-55.99,0.12,0.00
-56.20,-0.04,-0.07
-56.24,-0.08,-0.08
-56.34,-0.16,-0.11
-56.12,0.01,-0.03
-56.17,-0.03,-0.05
-55.98,0.11,0.01
-56.05,0.05,-0.01
-56.08,0.02,-0.02
-56.07,0.02,-0.02
-56.00,0.07,0.00
-55.97,0.09,0.01
-55.98,0.08,0.00
-56.07,0.01,-0.03
-56.16,-0.07,-0.06
-56.36,-0.22,-0.12
-56.50,-0.32,-0.16
-56.50,-0.31,-0.15
-56.47,-0.27,-0.13
-56.45,-0.25,-0.11
-56.48,-0.27,-0.12
-56.48,-0.26,-0.10
-56.53,-0.29,-0.11
-56.41,-0.18,-0.06
-56.41,-0.18,-0.06
-56.65,-0.35,-0.13
-56.51,-0.23,-0.07
-56.40,-0.14,-0.03
-56.28,-0.04,0.02
-56.25,-0.01,0.03
-56.41,-0.12,-0.02
-56.47,-0.16,-0.04
-56.40,-0.10,-0.01
-56.50,-0.17,-0.04
-56.61,-0.24,-0.07
-56.67,-0.28,-0.08
-56.59,-0.20,-0.04
-56.66,-0.24,-0.06
-56.54,-0.14,-0.01
-56.59,-0.17,-0.02
-56.50,-0.09,0.01
-56.50,-0.08,0.01
-56.53,-0.09,0.01
-56.66,-0.18,-0.03
-56.64,-0.15,-0.02
-56.73,-0.22,-0.04
-56.70,-0.18,-0.02
-56.62,-0.11,0.01
-56.45,0.03,0.07
-56.58,-0.07,0.02
-56.62,-0.09,0.01
-56.51,0.00,0.05
-56.51,0.01,0.05
-56.49,0.03,0.06
-56.52,0.01,0.05
-56.60,-0.05,0.02
-56.71,-0.13,-0.02
-56.85,-0.22,-0.05
-56.85,-0.21,-0.05
-56.87,-0.21,-0.05
-56.84,-0.18,-0.03
-57.00,-0.29,-0.08
-57.17,-0.39,-0.12
-57.15,-0.37,-0.10
-57.03,-0.25,-0.05
-56.90,-0.14,0.00
-56.69,0.02,0.08
-56.67,0.05,0.08
-56.76,-0.02,0.05
-56.57,0.13,0.11
-56.65,0.07,0.08
-56.75,-0.00,0.04
-56.77,-0.01,0.04
-56.63,0.10,0.09
-56.47,0.22,0.14
-56.38,0.28,0.16
-56.39,0.26,0.14
-56.29,0.33,0.17
-56.40,0.24,0.12
-56.32,0.29,0.14
-56.43,0.20,0.09
-56.51,0.14,0.06
-56.45,0.18,0.07
-56.44,0.18,0.07
-56.27,0.30,0.12
-56.20,0.34,0.13
-56.29,0.26,0.09
-56.43,0.15,0.03
-56.25,0.27,0.09
-56.12,0.36,0.12
-55.94,0.47,0.17
-55.87,0.50,0.17
-56.02,0.37,0.11
-55.87,0.46,0.14
-55.76,0.53,0.16
-55.86,0.42,0.11
-55.85,0.41,0.10
-55.89,0.36,0.07
-55.96,0.29,0.04
-55.93,0.29,0.04
-55.89,0.30,0.04
-55.78,0.36,0.07
-55.51,0.54,0.14
-55.33,0.65,0.18
-55.45,0.53,0.12
-55.40,0.54,0.12
-55.25,0.61,0.15
-55.32,0.53,0.10
-55.39,0.45,0.06
-55.48,0.35,0.02
-55.69,0.17,-0.07
-55.87,0.02,-0.13
-56.06,-0.14,-0.19
-55.93,-0.05,-0.14
-55.88,-0.03,-0.13
-55.54,0.22,-0.01
-55.40,0.31,0.03
-55.15,0.47,0.10
-55.22,0.39,0.06
-54.99,0.53,0.12
-54.78,0.66,0.17
-54.86,0.57,0.12
-54.77,0.60,0.13
-54.89,0.48,0.07
-55.38,0.08,-0.11
-55.51,-0.03,-0.15
-55.51,-0.04,-0.15
-55.67,-0.18,-0.20
-55.77,-0.26,-0.23
-55.78,-0.26,-0.22
-55.64,-0.16,-0.17
-55.80,-0.29,-0.21
-55.79,-0.28,-0.20
-55.76,-0.25,-0.18
-55.84,-0.32,-0.20
-55.92,-0.37,-0.21
-55.98,-0.40,-0.22
-55.99,-0.40,-0.21
-55.91,-0.33,-0.17
-55.83,-0.26,-0.13
-55.81,-0.24,-0.11
-55.73,-0.18,-0.08
-55.89,-0.29,-0.12
-56.06,-0.41,-0.17
-56.28,-0.55,-0.23
-56.31,-0.56,-0.22
-56.49,-0.67,-0.26
-56.43,-0.60,-0.22
-56.56,-0.67,-0.24
-56.64,-0.70,-0.24
-56.75,-0.75,-0.25
-56.55,-0.57,-0.16
-56.70,-0.65,-0.19
-56.54,-0.50,-0.11
-56.41,-0.38,-0.05
-56.40,-0.34,-0.04
-56.51,-0.41,-0.06
-56.60,-0.44,-0.08
-56.58,-0.40,-0.05
-56.56,-0.36,-0.03
-56.85,-0.56,-0.12
-56.86,-0.53,-0.10
-56.63,-0.33,-0.01
-56.61,-0.29,0.01
-56.36,-0.08,0.10
-56.34,-0.05,0.11
-56.42,-0.09,0.09
-56.28,0.03,0.14
-56.11,0.17,0.19
-55.99,0.26,0.23
-55.81,0.40,0.27
-55.75,0.44,0.28
-55.64,0.52,0.30
-55.58,0.55,0.30
-55.59,0.53,0.28
-55.70,0.43,0.22
-55.84,0.32,0.16
-55.98,0.21,0.11
-56.13,0.09,0.05
-55.95,0.22,0.10
-55.84,0.30,0.13
-55.79,0.32,0.14
-55.92,0.22,0.08
-56.09,0.08,0.02
-55.98,0.16,0.05
-56.04,0.11,0.03
-56.18,0.00,-0.02
-56.29,-0.09,-0.06
-56.37,-0.14,-0.08
-56.48,-0.22,-0.11
-56.34,-0.11,-0.06
-56.45,-0.19,-0.09
-56.68,-0.35,-0.16
-56.59,-0.28,-0.12
-56.81,-0.43,-0.18
-56.99,-0.54,-0.22
-57.11,-0.62,-0.24
-57.28,-0.72,-0.28
-57.38,-0.76,-0.28
-57.44,-0.78,-0.28
-57.21,-0.57,-0.17
-57.29,-0.60,-0.18
-57.26,-0.56,-0.15
-57.32,-0.57,-0.15
-57.42,-0.61,-0.16
-57.54,-0.67,-0.18
-57.27,-0.44,-0.07
-57.06,-0.26,0.02
-56.87,-0.10,0.09
-56.73,0.03,0.14
-56.55,0.17,0.19
-56.62,0.13,0.17
-56.74,0.05,0.12
-56.86,-0.03,0.08
-56.94,-0.09,0.05
-57.08,-0.17,0.01
-57.16,-0.22,-0.01
-57.30,-0.31,-0.05
-57.42,-0.37,-0.07
-57.34,-0.30,-0.04
-57.32,-0.26,-0.02
-57.29,-0.22,0.00
-57.08,-0.05,0.08
-57.11,-0.06,0.07
-57.21,-0.12,0.04
-57.07,-0.00,0.09
-56.98,0.07,0.12
-56.64,0.33,0.23
-56.49,0.44,0.26
-56.63,0.33,0.20
-56.64,0.31,0.19
-56.82,0.17,0.12
-56.84,0.16,0.10
-57.03,0.01,0.04
-57.37,-0.23,-0.08
-56.99,0.06,0.06
-56.99,0.06,0.05
-57.15,-0.06,-0.00
-57.14,-0.05,0.01
-57.27,-0.14,-0.04
-57.47,-0.28,-0.10
-57.60,-0.36,-0.13
-57.59,-0.34,-0.11
-57.91,-0.56,-0.21
-58.02,-0.62,-0.22
-57.99,-0.58,-0.19
-57.98,-0.54,-0.17
-58.07,-0.58,-0.18
-58.10,-0.58,-0.17
-58.10,-0.55,-0.15
-57.92,-0.39,-0.07
-58.00,-0.42,-0.08
-58.10,-0.47,-0.10
-58.08,-0.43,-0.08
-58.10,-0.42,-0.07
-58.17,-0.44,-0.08
-58.27,-0.49,-0.09
-58.30,-0.49,-0.09
-58.48,-0.59,-0.13
-58.40,-0.50,-0.08
-58.33,-0.42,-0.04
-58.27,-0.34,-0.01
-58.27,-0.32,0.00
-58.26,-0.29,0.02
-58.17,-0.19,0.06
-58.25,-0.23,0.04
-58.16,-0.14,0.08
-58.22,-0.17,0.06
-58.24,-0.16,0.06
-58.03,0.01,0.13
-58.11,-0.04,0.11
-58.13,-0.03,0.10
-57.94,0.11,0.16
-58.08,0.02,0.11
-58.11,0.01,0.10
-58.02,0.09,0.13
-58.20,-0.04,0.07
-58.02,0.10,0.13
-58.17,-0.00,0.08
-58.16,0.01,0.08
-57.82,0.27,0.19
-57.78,0.30,0.20
-57.62,0.42,0.24
-57.65,0.38,0.21
-57.81,0.26,0.15
-57.66,0.36,0.19
-57.63,0.38,0.19
-57.69,0.32,0.15
-57.74,0.28,0.13
-57.81,0.22,0.09
-57.60,0.36,0.15
-57.74,0.24,0.09
-57.89,0.13,0.04
-58.02,0.02,-0.01
-58.02,0.02,-0.01
-58.08,-0.03,-0.03
-58.15,-0.08,-0.05
-58.05,-0.00,-0.02
-58.02,0.02,-0.01
-58.00,0.02,-0.00
-57.86,0.13,0.04
-57.69,0.25,0.09
-57.66,0.26,0.09
-57.64,0.26,0.09
-57.46,0.38,0.14
-57.31,0.48,0.18
-56.86,0.80,0.31
-56.58,0.97,0.37
-56.53,0.97,0.35
-56.77,0.76,0.24
-56.92,0.61,0.17
-57.08,0.46,0.09
-57.15,0.38,0.05
-57.45,0.14,-0.06
-57.44,0.13,-0.06
-57.74,-0.11,-0.16
-57.89,-0.23,-0.21
-58.22,-0.48,-0.31
-58.35,-0.57,-0.33
-58.58,-0.73,-0.39
-58.97,-1.00,-0.49
-58.94,-0.95,-0.45
-59.07,-1.02,-0.46
-59.32,-1.17,-0.50
-59.22,-1.05,-0.43
-59.21,-1.01,-0.38
-59.06,-0.85,-0.30
-59.36,-1.05,-0.37
-59.56,-1.15,-0.40
-59.87,-1.33,-0.46
-60.03,-1.39,-0.46
-60.00,-1.30,-0.41
-59.95,-1.20,-0.34
-59.96,-1.15,-0.30
-59.85,-1.02,-0.23
-59.84,-0.95,-0.19
-59.83,-0.88,-0.15
-59.76,-0.78,-0.10
-59.88,-0.82,-0.11
-60.01,-0.86,-0.13
-59.98,-0.79,-0.09
-59.98,-0.73,-0.06
-59.91,-0.63,-0.01
-59.77,-0.48,0.06
-59.90,-0.53,0.03
-59.65,-0.30,0.13
-59.82,-0.39,0.09
-59.68,-0.25,0.15
-59.53,-0.10,0.20
-59.60,-0.13,0.18
-59.56,-0.07,0.20
-59.42,0.06,0.25
-59.27,0.19,0.29
-59.08,0.35,0.35
-58.98,0.43,0.37
-58.92,0.48,0.38
-58.88,0.51,0.37
-58.93,0.47,0.34
-58.86,0.52,0.34
-58.65,0.67,0.39
-58.88,0.48,0.29
-58.85,0.50,0.29
-58.79,0.54,0.29
-58.76,0.54,0.28
-58.40,0.80,0.38
-58.51,0.69,0.31
-58.24,0.87,0.38
-58.13,0.92,0.38
-58.02,0.97,0.39
-58.07,0.89,0.33
-58.18,0.78,0.27
-58.25,0.70,0.22
-58.12,0.76,0.24
-58.07,0.76,0.22
-58.08,0.71,0.20
-57.96,0.77,0.21
-57.90,0.78,0.20
-57.85,0.77,0.19
-57.82,0.75,0.18
-57.72,0.78,0.18
-57.92,0.59,0.09
-57.80,0.64,0.11
-57.72,0.67,0.11
-57.61,0.70,0.12
-57.80,0.52,0.04
-57.74,0.53,0.04
-57.91,0.37,-0.03
-57.87,0.37,-0.03
-57.87,0.33,-0.05
-57.88,0.29,-0.06
-58.00,0.17,-0.11
-57.98,0.16,-0.11
-58.20,-0.02,-0.19
-58.26,-0.08,-0.21
-58.39,-0.19,-0.25
-58.49,-0.28,-0.27
-58.35,-0.18,-0.22
-58.20,-0.08,-0.16
-57.96,0.09,-0.08
-57.95,0.09,-0.08
-58.06,-0.01,-0.12
-57.94,0.06,-0.08
-57.89,0.09,-0.06
-57.90,0.07,-0.07
-57.90,0.05,-0.07
-58.03,-0.05,-0.12
-58.12,-0.12,-0.14
-58.05,-0.08,-0.11
-58.26,-0.24,-0.18
-58.32,-0.28,-0.19
-58.53,-0.44,-0.25
-58.40,-0.33,-0.19
-58.53,-0.42,-0.22
-58.45,-0.35,-0.18
-58.62,-0.47,-0.23
-58.66,-0.49,-0.22
-58.50,-0.35,-0.15
-58.52,-0.36,-0.15
-58.48,-0.31,-0.12
-58.39,-0.23,-0.08
-58.44,-0.26,-0.09
-58.35,-0.18,-0.05
-58.47,-0.26,-0.08
