Time[s]	Pressure[Pa]	Alt[m]	Acc_x[G]	Acc_y[G]	Acc_z[G]	Gyro_x[º/s]	Gyro_y[º/s]	Gyro_z[º/s]	Temp_bme[*C]	Temp_imu[*C]
2.00	101717.97	-0.17	-0.21	0.28	1.03	-5.00	-35.24	19.82	32.97	35.3
2.02	101716.70	-0.07	-0.19	0.33	0.96	1.04	10.79	-14.21	32.98	35.3
2.04	101716.70	-0.07	-0.21	0.35	0.90	-1.34	47.74	-21.46	32.98	35.3
2.06	101718.78	-0.24	-0.17	0.30	0.95	-9.70	52.38	-5.55	32.98	35.3
2.08	101718.78	-0.16	-0.11	0.23	0.92	3.90	28.05	-1.04	32.99	35.3
2.10	101717.74	-0.16	-0.11	0.25	1.02	-4.15	4.57	-7.80	32.99	35.4
2.12	101718.27	-0.20	-0.20	0.24	1.04	11.22	10.55	-14.27	32.99	35.3
2.14	101718.27	-0.20	-0.23	0.27	0.97	14.82	1.95	-62.44	32.99	35.1
2.16	101718.27	-0.20	-0.20	0.28	0.93	23.29	-0.55	-65.43	33.00	35.5
2.18	101718.27	-0.20	-0.15	0.30	0.92	-1.77	-6.83	-11.65	33.01	35.1
2.20	101716.98	-0.09	-0.06	0.21	1.02	-2.13	-9.76	-12.50	33.01	35.3
2.22	101717.33	-0.12	-0.18	0.30	1.02	-9.51	-50.91	-70.79	33.01	35.4
2.25	101717.33	-0.12	-0.16	0.22	1.00	-7.07	-35.37	-66.04	33.01	35.3
2.27	101715.25	0.05	-0.19	0.21	1.03	7.26	0.67	-66.77	33.01	35.3
2.29	101715.25	0.05	-0.16	0.20	0.93	38.90	39.51	-59.82	33.02	35.4
2.31	101716.12	-0.02	-0.08	0.09	1.06	67.20	95.12	6.52	33.02	35.5
2.33	101718.06	-0.18	-0.21	0.30	1.02	35.06	66.71	18.11	33.03	35.3
2.35	101718.06	-0.18	-0.33	0.23	1.11	47.26	16.28	-34.76	33.03	35.3
2.37	101716.51	-0.05	-0.31	0.32	1.05	65.30	-23.90	-41.40	33.03	35.5
2.39	101716.51	-0.05	-0.13	0.29	0.97	92.44	-36.95	-73.60	33.03	35.4
2.41	101718.66	-0.23	-0.10	0.36	0.90	103.84	21.52	-82.20	33.04	35.3
2.44	101721.44	-0.46	-0.22	0.35	0.86	65.06	65.18	-94.33	33.04	35.3
2.46	101721.44	-0.46	-0.27	0.31	0.94	57.62	108.29	-64.88	33.04	35.4
2.48	101719.53	-0.30	-0.42	0.37	0.94	48.84	106.89	-48.90	33.04	35.1
2.50	101719.53	-0.30	-0.39	0.37	0.92	58.23	77.01	-26.65	33.04	35.5
2.52	101719.11	-0.27	-0.30	0.50	0.88	56.83	54.94	14.63	33.03	35.4
2.54	101719.11	-0.27	-0.28	0.45	0.87	19.02	36.59	22.20	33.04	35.4
2.56	101722.13	-0.52	-0.31	0.43	0.91	10.73	46.40	18.48	33.04	35.3
2.58	101721.72	-0.48	-0.42	0.38	0.88	5.18	76.28	9.63	33.03	35.5
2.60	101721.72	-0.48	-0.48	0.33	0.84	2.93	77.44	-0.67	33.03	35.4
2.62	101720.08	-0.35	-0.40	0.38	0.83	11.77	102.87	17.01	33.03	35.5
2.64	101720.08	-0.35	-0.35	0.37	0.83	-5.73	115.24	8.11	33.03	35.5
2.66	101721.98	-0.51	-0.45	0.29	0.89	10.49	109.76	-29.76	33.03	35.1
2.68	101721.98	-0.51	-0.56	0.42	0.88	10.30	74.09	-23.17	33.01	35.4
2.70	101717.09	-0.10	-0.51	0.44	0.88	5.67	62.80	-7.74	33.01	35.3
2.73	101720.80	-0.41	-0.48	0.45	0.85	37.44	45.06	2.56	33.01	35.3
2.75	101720.80	-0.41	-0.47	0.37	0.68	18.60	50.49	-13.54	33.01	35.5
2.77	101721.50	-0.47	-0.53	0.36	0.80	9.51	86.10	-26.59	33.01	35.4
2.79	101721.50	-0.34	-0.67	0.31	0.73	31.40	88.78	-24.70	32.99	35.1
2.81	101720.00	-0.34	-0.66	0.37	0.73	41.10	70.37	-30.00	32.99	35.3
2.83	101720.86	-0.41	-0.68	0.38	0.72	-3.17	53.54	-24.94	32.99	35.3
2.85	101720.86	-0.41	-0.35	0.37	0.51	-76.59	180.85	2.44	32.99	35.3
2.87	101718.95	-0.26	-0.70	0.35	0.69	-22.80	207.01	12.93	32.98	35.3
2.90	101718.95	-0.53	-1.00	0.25	0.69	1.65	118.41	-20.73	32.98	35.3
2.92	101722.25	-0.53	-0.68	0.45	0.56	-55.91	91.16	-64.57	32.98	35.3
2.94	101719.36	-0.29	-0.57	0.36	0.55	-42.44	163.60	-39.15	32.96	35.4
2.96	101719.36	-0.29	-0.74	0.15	0.47	-40.18	201.71	-51.59	32.96	35.4
2.98	101718.00	-0.18	-1.21	0.21	0.37	-18.41	158.48	-71.04	32.95	35.3
3.00	101718.00	-0.18	-1.19	0.10	0.52	-15.91	88.23	-37.99	32.94	35.4
3.02	101721.92	-0.50	-0.87	0.25	0.56	-5.79	31.28	-33.11	32.94	35.3
3.04	101721.27	-0.45	-0.67	0.31	0.51	-41.22	38.35	-21.89	32.92	35.4
3.07	101721.27	-0.45	-0.81	0.14	0.43	-18.54	40.43	-11.16	32.92	35.5
3.09	101722.20	-0.52	-0.95	0.07	0.45	19.45	6.10	-52.56	32.94	35.5
3.11	101722.20	-0.52	-1.08	0.01	0.40	23.17	-3.90	-33.29	32.94	35.4
3.13	101711.36	0.37	-0.78	0.17	0.37	14.21	0.18	-27.87	32.92	35.1
3.15	101702.72	1.09	-0.81	0.18	0.33	-7.32	60.67	-29.70	32.91	35.3
3.17	101702.72	1.09	-0.83	0.14	0.30	-18.35	88.78	9.15	32.91	35.4
3.19	101698.61	1.43	-0.97	0.10	0.35	-14.21	94.94	-1.52	32.89	35.3
3.21	101698.61	1.43	-1.03	0.03	0.31	6.10	65.24	-19.88	32.89	35.3
3.23	101699.80	1.33	-0.82	0.11	0.21	19.45	81.28	-26.59	32.90	35.5
3.25	101699.80	1.33	-0.75	0.15	0.24	-5.06	106.22	-47.38	32.90	35.4
3.27	101696.91	1.57	-0.92	0.01	0.26	-5.61	105.43	-71.22	32.89	35.3
3.29	101697.61	1.45	-1.10	-0.46	0.01	136.46	79.27	-94.82	32.90	35.3
3.31	101698.41	1.45	-0.70	-0.08	-0.03	-48.90	188.60	36.40	32.90	35.5
3.33	101696.56	1.60	-0.82	0.00	-0.03	15.18	110.06	-45.85	32.91	35.3
3.35	101696.56	1.60	-1.06	0.18	0.08	22.62	92.93	-15.61	32.91	35.6
3.38	101694.48	1.77	-1.14	0.15	0.18	10.61	44.82	6.10	32.91	35.4
3.40	101694.48	1.77	-1.10	0.06	0.14	14.70	20.43	-4.21	32.91	35.3
3.42	101695.35	1.70	-1.15	0.17	0.05	2.44	16.83	-21.59	32.91	35.5
3.44	101694.73	1.75	-0.89	-0.47	0.17	20.30	8.72	59.63	32.91	35.3
3.46	101694.73	1.75	-0.66	-0.18	-0.19	-26.89	-47.07	123.48	32.91	35.5
3.48	101696.39	1.62	-0.78	-0.22	0.07	12.13	-18.78	71.89	32.92	35.5
3.50	101696.39	1.62	-0.84	0.11	-0.01	0.91	3.60	6.59	32.92	35.4
3.52	101695.88	1.66	-0.98	0.12	0.06	-5.67	27.38	-29.88	32.92	35.2
3.54	101696.27	1.63	-1.04	-0.01	0.04	-21.16	24.82	-7.93	32.93	35.3
3.56	101696.27	1.63	-1.08	-0.08	-0.00	-1.22	6.89	-1.71	32.93	35.3
3.59	101693.91	1.82	-0.97	0.07	0.06	7.62	4.57	-33.05	32.93	35.4
3.61	101693.91	1.82	-1.01	-0.06	0.20	14.09	-17.20	-49.21	32.93	35.5
3.63	101695.57	1.68	-1.11	-0.02	-0.04	7.20	-6.22	-13.84	32.93	35.3
3.65	101695.57	1.40	-0.95	0.02	0.03	15.91	-13.11	7.87	32.94	35.3
3.67	101699.01	1.40	-0.83	-0.05	0.08	12.74	-2.99	13.48	32.94	35.1
3.69	101695.02	1.73	-1.08	-0.17	0.05	-5.61	11.22	18.11	32.94	35.1
3.71	101695.02	1.73	-1.12	-0.13	0.02	-9.57	5.00	-22.32	32.95	35.4
3.73	101697.34	1.54	-0.88	0.16	0.12	-11.89	-5.85	-58.66	32.95	35.5
3.76	101696.89	1.57	-0.72	0.27	0.32	4.15	-24.82	-86.65	32.95	35.3
3.78	101696.89	1.57	-1.08	-0.09	0.21	-4.21	-2.93	-40.37	32.95	35.5
3.80	101697.14	1.55	-1.11	-0.41	-0.03	2.68	-63.78	8.78	32.97	35.3
3.82	101697.14	1.55	-0.93	-0.30	0.14	20.73	-6.34	39.70	32.97	35.3
3.85	101697.31	1.54	-0.91	-0.06	0.13	5.91	3.60	20.67	32.97	35.6
3.88	101696.10	1.64	-0.94	-0.12	0.17	0.91	25.06	37.50	32.97	35.3
3.90	101699.34	1.37	-0.94	0.07	0.21	-11.59	31.89	60.79	32.98	35.4
3.92	101699.34	1.37	-0.94	0.03	0.16	-7.32	3.17	69.57	32.98	35.4
3.94	101698.12	1.47	-1.23	0.01	-0.03	-10.30	-4.39	14.88	32.98	35.3
3.97	101698.12	1.47	-1.01	0.11	0.13	-31.28	-4.15	-3.72	32.98	35.1
3.99	101696.39	1.62	-0.96	-0.12	0.10	-36.10	-3.54	-35.49	32.98	35.3
4.01	101697.77	1.50	-0.89	0.16	0.24	-12.93	2.26	-12.87	32.99	35.1
4.04	101697.77	1.50	-0.93	0.00	0.06	-2.99	22.74	1.46	33.00	35.5
4.06	101700.59	1.27	-0.98	0.08	0.09	-5.79	13.84	-8.90	33.00	35.3
4.08	101697.60	1.52	-1.18	-0.04	0.04	-16.95	0.73	37.07	32.99	35.3
4.11	101697.60	1.52	-0.97	0.04	0.10	-20.85	26.22	69.33	32.99	35.5
4.13	101695.73	1.67	-0.85	0.15	0.18	16.16	23.48	-2.74	33.00	35.1
4.15	101694.02	1.81	-1.04	0.00	0.15	20.37	10.00	-14.02	32.99	35.4
4.17	101694.02	1.81	-0.89	-0.07	0.16	54.02	-18.17	-28.66	32.99	35.3
4.20	101694.52	1.77	-0.92	-0.01	0.18	60.98	-17.01	-34.21	33.00	35.5
4.22	101699.97	1.32	-0.93	-0.05	0.14	50.37	-21.65	-27.38	33.02	35.4
4.25	101699.97	1.32	-0.96	-0.17	0.12	27.87	-2.07	9.70	33.02	35.3
4.27	101696.67	1.59	-1.03	0.06	0.14	-7.80	-18.96	43.96	33.01	35.4
4.29	101696.84	1.58	-1.06	0.17	0.18	-35.12	-17.13	27.62	33.02	35.1
4.31	101696.84	1.58	-1.02	0.34	0.19	-59.02	-92.01	-6.16	33.02	35.3
4.34	101696.42	1.61	-1.07	-0.01	0.30	-32.99	-87.44	2.68	33.01	35.4
4.36	101696.42	1.55	-0.53	0.23	0.33	26.46	-70.30	-9.63	33.01	35.1
4.39	101697.12	1.55	-0.95	-0.05	0.38	-21.22	-10.30	2.99	33.01	35.5
4.41	101698.06	1.48	-0.80	0.05	0.35	-3.54	-3.29	-16.34	33.02	35.3
4.43	101695.28	1.71	-0.95	-0.15	0.29	16.28	15.00	16.95	33.02	35.4
4.46	101695.28	1.71	-1.01	-0.04	0.32	30.79	17.80	32.62	33.02	35.3
4.48	101696.91	1.57	-1.03	0.15	0.37	53.41	-22.99	40.79	33.02	35.4
4.50	101696.91	1.57	-0.94	0.16	0.34	53.17	-32.44	53.96	33.02	35.3
4.53	101697.72	1.51	-0.96	-0.12	0.36	17.44	5.98	56.22	33.02	35.1
4.55	101695.11	1.72	-0.96	0.09	0.37	4.51	52.07	57.13	33.02	35.5
4.58	101694.14	1.80	-0.87	0.20	0.09	3.54	24.70	29.94	33.02	35.3
4.60	101694.14	1.80	-0.98	0.34	0.20	36.89	34.27	-30.98	33.02	35.3
4.62	101695.62	1.68	-0.92	0.11	0.18	50.18	19.82	-31.16	33.02	35.4
4.65	101695.62	1.49	-0.90	0.02	0.33	34.39	32.50	-13.60	33.03	35.5
4.67	101697.86	1.49	-0.92	0.09	0.35	45.49	21.95	12.44	33.03	35.2
4.69	101697.86	1.49	-0.85	0.01	0.23	32.62	25.37	27.80	33.03	35.3
4.71	101697.86	1.49	-0.94	0.07	0.39	69.76	20.85	-12.07	33.03	35.2
4.74	101699.31	1.37	-1.05	0.17	0.17	105.49	7.32	-71.16	33.03	35.3
4.76	101699.31	1.37	-0.90	-0.03	0.15	50.43	152.74	0.00	33.03	35.1
4.79	101699.31	1.37	-1.01	0.06	0.14	10.06	56.59	8.66	33.03	35.3
4.81	101696.20	1.63	-0.97	0.24	0.21	19.88	53.23	30.06	33.03	35.5
4.83	101695.42	1.70	-0.89	0.28	0.10	32.44	30.79	-8.05	33.03	35.3
4.86	101695.42	1.70	-0.93	0.09	0.15	41.22	-2.87	-30.18	33.03	35.3
4.88	101696.89	1.57	-0.95	0.05	0.19	29.70	-17.32	-18.23	33.03	35.3
4.90	101696.61	1.60	-1.12	0.08	0.25	19.33	5.61	0.73	33.04	35.4
4.93	101696.61	1.60	-0.95	0.11	0.29	-6.16	19.21	10.85	33.04	35.3
4.95	101697.13	1.55	-0.98	0.08	0.22	-2.93	17.56	5.43	33.04	35.2
4.97	101692.12	1.97	-0.98	0.12	0.09	2.13	14.57	18.90	33.03	35.2
5.00	101692.12	1.97	-0.99	0.11	0.15	-14.21	18.84	4.33	33.03	35.5
5.02	101696.51	1.61	-0.94	0.15	0.14	-8.54	20.24	-7.62	33.04	35.1
5.04	101695.57	1.68	-1.08	0.17	0.20	14.33	10.73	-1.52	33.04	35.6
5.07	101695.57	1.68	-1.03	0.17	0.11	19.21	9.94	-5.55	33.04	35.5
5.09	101692.02	1.98	-0.95	0.08	0.11	14.70	11.52	-14.33	33.03	35.5
5.12	101695.57	1.68	-0.96	0.09	0.13	20.06	7.38	-5.06	33.04	35.0
5.14	101695.57	1.68	-0.99	-0.00	0.16	19.63	2.56	-5.49	33.04	35.2
5.16	101697.30	1.54	-1.06	0.11	0.18	7.50	10.55	-3.41	33.04	35.3
5.18	101694.95	1.73	-0.93	0.07	0.14	3.41	27.87	-2.01	33.04	35.5
5.21	101694.95	1.73	-0.85	0.14	0.16	15.61	9.70	-21.65	33.04	35.2
5.23	101694.73	1.75	-0.88	0.11	0.20	23.48	14.21	-10.67	33.03	35.4
5.25	101694.73	1.75	-0.89	-0.05	0.24	20.00	-4.63	-2.80	33.04	35.2
5.28	101694.00	1.81	-0.96	0.10	0.09	17.80	6.59	8.72	33.04	35.4
5.30	101697.66	1.51	-0.99	0.17	0.10	18.23	9.09	21.04	33.04	35.3
5.32	101697.66	1.51	-1.02	0.09	0.17	32.44	7.62	7.07	33.04	35.3
5.34	101698.42	1.45	-0.83	0.19	0.14	37.38	-9.02	-10.43	33.04	35.4
5.36	101698.42	1.45	-0.97	0.05	0.16	26.46	-16.10	-20.73	33.04	35.3
5.39	101698.42	1.45	-0.95	0.11	0.18	29.33	-17.74	-12.62	33.04	35.3
5.41	101695.60	1.68	-0.98	0.02	0.18	17.38	-17.32	-7.38	33.03	35.1
5.43	101695.60	1.68	-0.98	0.04	0.26	13.78	-5.37	4.57	33.04	35.3
5.46	101699.56	1.35	-1.00	0.01	0.22	12.44	-3.66	11.46	33.04	35.3
5.48	101698.13	1.47	-0.95	0.08	0.18	13.72	0.18	17.20	33.02	35.2
5.50	101698.13	1.50	-0.89	0.10	0.18	14.94	0.37	16.65	33.03	35.3
5.53	101697.75	1.50	-0.82	0.14	0.24	25.30	-19.82	9.45	33.03	35.4
5.55	101698.97	1.40	-1.10	0.06	0.22	21.95	-17.01	5.18	33.03	35.5
5.57	101698.97	1.40	-0.97	0.10	0.16	5.12	17.99	16.04	33.04	35.3
5.60	101701.89	1.16	-1.00	0.10	0.22	12.32	0.43	15.55	33.04	35.1
5.62	101699.31	1.37	-0.89	0.06	0.21	14.39	-8.29	6.59	33.03	35.1
5.64	101699.31	1.37	-1.01	0.10	0.23	6.83	11.28	15.91	33.03	35.4
5.67	101696.98	1.57	-0.79	0.07	0.21	3.29	8.54	13.48	33.03	35.3
5.69	101698.03	1.48	-0.98	0.01	0.25	-1.95	5.12	15.61	33.03	35.1
5.71	101698.03	1.48	-0.93	0.12	0.21	13.17	-1.04	31.10	33.04	35.3
5.74	101698.34	1.45	-0.95	0.11	0.21	17.38	0.24	30.98	33.04	35.4
5.76	101697.66	1.51	-1.01	0.19	0.25	6.34	-12.20	29.57	33.04	35.2
5.78	101697.66	1.51	-0.98	0.31	0.27	6.28	-3.35	8.60	33.04	35.3
5.81	101695.50	1.69	-0.77	0.24	0.39	27.01	17.13	-37.80	33.03	35.3
5.83	101695.95	1.65	-1.05	0.20	0.30	24.88	23.54	-22.93	33.03	35.4
5.86	101695.95	1.65	-1.02	0.22	0.02	10.98	6.28	-9.76	33.03	35.5
5.88	101696.12	1.64	-1.01	0.11	0.20	9.70	1.34	-12.99	33.03	35.2
5.90	101696.57	1.60	-0.88	0.02	0.27	6.52	-12.56	15.55	33.02	35.1
5.92	101696.57	1.60	-0.96	0.10	0.38	8.11	-16.40	12.50	33.02	35.3
5.95	101695.38	1.70	-0.99	0.19	0.32	18.60	18.72	0.85	33.01	35.0
5.97	101699.94	1.32	-0.99	0.11	0.37	14.33	25.00	12.13	33.03	35.1
6.00	101699.94	1.32	-0.87	0.14	0.26	16.52	16.71	17.74	33.03	35.4
6.02	101697.19	1.55	-1.00	0.21	0.22	14.63	2.13	4.70	33.02	35.4
6.04	101697.81	1.50	-1.02	0.10	0.29	19.21	4.09	12.32	33.01	35.4
6.07	101697.81	1.50	-0.98	0.16	0.30	25.00	8.72	6.40	33.01	35.3
6.09	101698.41	1.45	-0.86	0.25	0.25	26.77	6.40	9.45	33.01	35.0
6.11	101697.37	1.53	-0.96	0.23	0.26	17.44	12.56	1.28	33.01	35.3
6.13	101697.37	1.53	-0.97	0.22	0.28	14.76	7.68	-9.70	33.01	35.1
6.16	101695.94	1.65	-0.87	0.16	0.25	8.48	2.07	-13.05	32.99	35.4
6.18	101695.34	1.70	-0.83	0.09	0.30	-1.40	12.62	6.77	32.99	35.4
6.21	101695.34	1.70	-0.91	0.13	0.25	17.80	14.09	12.32	32.99	35.3
6.23	101697.25	1.54	-0.79	-0.00	0.21	12.68	-0.85	10.06	33.00	35.2
6.25	101699.86	1.33	-0.98	0.18	0.16	20.12	9.76	21.65	33.00	34.9
6.28	101699.86	1.33	-1.00	0.25	0.19	16.46	1.71	13.35	33.00	35.2
6.30	101694.83	1.74	-0.95	0.15	0.28	12.01	8.96	2.74	32.99	35.1
6.32	101694.83	1.74	-0.92	0.16	0.32	-1.04	26.40	-2.32	32.98	35.3
6.35	101693.53	1.85	-0.96	0.16	0.24	-3.17	35.61	-7.20	32.98	35.3
6.37	101691.28	2.04	-1.01	0.13	0.14	6.04	43.23	6.65	32.98	35.0
6.40	101687.28	2.37	-0.91	0.23	0.21	18.60	38.05	3.66	32.98	35.3
6.42	101687.28	2.37	-0.97	0.20	0.18	21.04	12.07	-3.54	32.98	35.2
6.44	101686.97	2.40	-0.98	0.17	0.23	7.74	12.62	-5.00	32.97	35.1
6.46	101686.97	2.40	-0.96	0.16	0.29	6.95	26.65	1.52	32.98	35.3
6.49	101691.52	2.02	-0.89	0.14	0.20	9.39	44.88	25.30	32.98	35.1
6.51	101693.25	1.88	-0.96	0.13	0.30	19.63	47.80	42.68	32.96	35.1
6.54	101693.25	1.88	-0.88	0.15	0.26	34.94	19.82	29.63	32.97	35.3
6.56	101697.14	1.55	-0.99	0.23	0.10	32.62	12.38	16.22	32.97	35.1
6.58	101695.09	1.72	-0.97	0.22	0.06	9.09	15.18	-5.30	32.95	35.3
6.61	101695.09	1.72	-0.94	0.27	0.13	7.20	-1.95	-11.34	32.95	35.3
6.63	101697.52	1.52	-0.93	0.20	0.15	5.49	-4.51	-10.91	32.95	35.2
6.66	101698.24	1.46	-1.02	0.10	0.24	11.40	7.01	-12.13	32.94	35.1
6.68	101698.24	1.46	-0.90	0.19	0.24	30.79	1.77	-2.93	32.93	35.2
6.70	101697.72	1.51	-0.91	0.09	0.26	37.68	-1.34	-3.96	32.93	35.1
6.72	101699.52	1.36	-0.90	0.21	0.27	47.26	-0.49	10.24	32.92	35.3
6.76	101701.55	1.19	-1.10	0.15	0.09	39.82	1.83	33.54	32.93	35.3
6.78	101701.55	1.19	-0.77	0.28	0.25	43.29	6.28	4.45	32.93	35.3
6.80	101694.23	1.79	-0.95	0.36	0.07	10.91	1.40	-3.23	32.90	35.0
6.83	101692.58	1.93	-0.98	0.31	0.11	0.30	5.18	-20.98	32.91	35.0
6.85	101692.58	1.93	-0.96	0.34	0.14	-7.01	-6.89	-51.65	32.91	35.3
6.87	101689.91	2.15	-0.86	0.17	0.28	-32.87	-25.43	-65.61	32.90	34.9
6.89	101689.91	2.15	-0.98	-0.05	0.47	-16.52	6.46	-42.01	32.90	35.0
6.92	101693.02	1.89	-0.89	-0.27	0.06	8.23	33.66	-24.88	32.90	35.0
6.94	101695.52	1.69	-0.92	0.01	0.14	-3.05	47.20	29.09	32.89	35.3
6.96	101695.52	1.69	-1.13	0.27	0.09	54.51	64.57	94.21	32.89	34.9
6.99	101695.31	1.71	-1.07	-0.02	0.03	16.04	37.74	49.51	32.89	35.1
7.01	101697.22	1.55	-0.86	0.34	0.09	7.50	42.62	20.61	32.89	35.0
7.03	101697.22	1.55	-0.97	0.14	0.13	42.20	31.22	-2.07	32.89	35.0
7.06	101696.98	1.57	-0.97	0.06	0.15	-11.46	18.66	18.23	32.88	35.0
7.08	101696.38	1.62	-0.99	0.13	0.16	-17.50	31.71	39.51	32.87	35.1
7.10	101696.38	1.62	-0.97	0.23	0.12	-16.71	32.20	57.68	32.87	35.0
7.13	101697.08	1.56	-0.87	0.41	0.04	-9.15	14.94	19.94	32.87	35.0
7.15	101695.12	1.72	-0.96	0.41	0.06	24.51	20.06	15.73	32.86	35.1
7.18	101695.12	1.72	-0.98	0.24	0.07	26.04	13.72	5.43	32.86	35.1
7.20	101694.88	1.74	-0.95	0.17	0.11	20.85	13.60	1.59	32.85	35.0
7.22	101695.58	1.68	-1.03	0.20	0.12	14.45	21.22	5.98	32.85	35.0
7.25	101695.58	1.68	-0.93	0.20	0.12	9.82	30.98	13.96	32.85	35.1
7.27	101695.64	1.68	-0.97	0.24	0.09	9.88	29.63	22.87	32.84	35.1
7.30	101696.86	1.58	-0.93	0.34	0.04	7.32	24.63	28.78	32.84	35.1
7.32	101696.86	1.58	-0.99	0.33	0.04	21.95	22.80	24.63	32.85	34.9
7.34	101696.52	1.61	-0.93	0.32	0.04	22.50	19.21	28.05	32.85	35.1
7.37	101692.75	1.92	-0.94	0.35	0.01	25.67	19.21	9.02	32.83	35.2
7.39	101692.75	1.92	-1.03	0.36	-0.06	25.12	15.12	19.15	32.83	35.1
7.41	101693.34	1.87	-0.95	0.25	0.06	28.35	16.65	13.60	32.84	35.1
7.43	101691.88	1.99	-0.97	0.30	0.02	30.85	18.72	10.30	32.83	35.3
7.46	101691.88	1.99	-1.01	0.33	0.06	25.12	20.43	11.52	32.83	35.1
7.49	101692.83	1.91	-0.90	0.30	0.05	20.67	21.83	20.12	32.83	35.1
7.51	101693.39	1.86	-0.95	0.41	0.02	25.18	21.40	23.84	32.84	35.0
7.53	101693.39	1.86	-0.90	0.34	0.01	18.90	19.02	30.24	32.84	34.9
7.55	101693.62	1.85	-0.97	0.37	-0.00	15.98	18.11	6.89	32.83	35.2
7.58	101693.80	1.83	-0.94	0.42	-0.02	33.41	11.71	10.00	32.83	34.9
7.60	101693.80	1.83	-1.02	0.34	-0.05	26.65	13.90	-1.04	32.83	35.0
7.62	101694.66	1.76	-0.91	0.22	0.04	3.48	24.76	-0.37	32.83	35.2
7.64	101694.66	1.76	-0.94	0.33	-0.03	-0.85	18.96	5.06	32.83	34.9
7.67	101694.84	1.74	-0.94	0.47	0.16	6.71	-19.33	5.24	32.83	35.2
7.69	101695.01	1.73	-0.80	0.35	-0.17	0.18	20.37	23.05	32.83	35.2
7.72	101695.01	1.64	-0.96	0.40	-0.04	9.39	6.71	2.26	32.83	35.1
7.74	101696.05	1.64	-0.99	0.39	-0.04	17.01	12.07	-1.65	32.83	35.0
7.76	101693.10	1.89	-0.90	0.33	-0.01	9.15	11.16	-14.45	32.82	35.0
7.78	101693.10	1.89	-0.99	0.35	-0.00	13.05	11.04	-19.82	32.82	35.1
7.81	101692.93	1.90	-0.95	0.35	0.01	10.61	13.41	-23.17	32.82	35.0
