P,V,A
-55.73,-0.88,-0.33
-56.17,-1.32,-0.52
-56.05,-1.07,-0.38
-55.80,-0.69,-0.19
-55.74,-0.56,-0.12
-55.74,-0.51,-0.09
-55.55,-0.23,0.04
-55.39,-0.02,0.13
-55.24,0.17,0.21
-55.05,0.39,0.30
-54.92,0.52,0.35
-54.84,0.59,0.36
-54.57,0.86,0.47
-54.57,0.80,0.42
-54.68,0.62,0.32
-54.87,0.36,0.19
-55.07,0.11,0.06
-54.87,0.33,0.16
-55.14,-0.00,0.00
-54.84,0.34,0.15
-54.63,0.56,0.25
-54.67,0.46,0.19
-54.56,0.55,0.22
-54.43,0.66,0.26
-54.72,0.27,0.07
-54.76,0.21,0.04
-54.65,0.31,0.08
-54.83,0.07,-0.03
-55.29,-0.47,-0.27
-54.90,0.01,-0.04
-54.40,0.58,0.22
-54.20,0.76,0.29
-54.16,0.75,0.27
-54.37,0.43,0.12
-54.53,0.22,0.01
-54.39,0.35,0.07
-54.40,0.30,0.05
-54.13,0.58,0.17
-53.85,0.84,0.28
-54.12,0.46,0.09
-54.26,0.25,-0.00
-54.37,0.10,-0.07
-54.50,-0.07,-0.15
-54.61,-0.20,-0.20
-55.04,-0.69,-0.41
-55.51,-1.18,-0.62
-55.55,-1.15,-0.57
-55.68,-1.21,-0.57
-55.88,-1.36,-0.61
-55.82,-1.18,-0.50
-55.96,-1.25,-0.51
-56.41,-1.67,-0.68
-56.29,-1.39,-0.52
-56.52,-1.54,-0.56
-56.87,-1.82,-0.66
-56.89,-1.69,-0.57
-56.74,-1.36,-0.39
-56.39,-0.83,-0.13
-56.64,-1.03,-0.22
-56.65,-0.94,-0.17
-56.72,-0.92,-0.15
-56.76,-0.88,-0.12
-56.24,-0.18,0.20
-56.07,0.05,0.30
-55.92,0.25,0.37
-55.94,0.23,0.35
-55.81,0.39,0.40
-55.64,0.57,0.46
-55.61,0.59,0.45
-55.63,0.53,0.40
-55.79,0.33,0.29
-55.62,0.51,0.36
-55.46,0.67,0.41
-55.47,0.62,0.37
-55.64,0.38,0.25
-55.54,0.48,0.28
-55.76,0.20,0.14
-56.12,-0.23,-0.06
-55.69,0.29,0.18
-55.75,0.21,0.13
-55.90,0.02,0.04
-55.89,0.02,0.04
-55.72,0.22,0.13
-55.68,0.26,0.14
-55.73,0.18,0.09
-55.72,0.19,0.09
-55.69,0.20,0.10
-55.73,0.14,0.06
-56.10,-0.29,-0.14
-56.25,-0.44,-0.20
-56.41,-0.60,-0.26
-56.62,-0.78,-0.33
-56.22,-0.26,-0.08
-56.39,-0.44,-0.15
-56.36,-0.36,-0.11
-56.03,0.04,0.08
-55.93,0.16,0.13
-55.96,0.12,0.10
-56.12,-0.07,0.01
-56.10,-0.04,0.03
-55.80,0.32,0.18
-55.28,0.90,0.44
-55.51,0.57,0.27
-55.30,0.76,0.34
-55.09,0.94,0.41
-55.11,0.84,0.35
-55.21,0.67,0.25
-55.21,0.62,0.21
-54.96,0.84,0.31
-55.34,0.33,0.06
-55.24,0.41,0.09
-55.26,0.35,0.06
-55.40,0.15,-0.03
-55.58,-0.07,-0.13
-55.57,-0.06,-0.12
-55.63,-0.13,-0.15
-55.86,-0.40,-0.26
-55.49,0.05,-0.04
-55.56,-0.05,-0.09
-55.86,-0.38,-0.24
-55.57,-0.03,-0.06
-56.06,-0.60,-0.32
-56.16,-0.67,-0.34
-56.08,-0.53,-0.26
-55.88,-0.27,-0.13
-55.49,0.20,0.09
-55.48,0.20,0.09
-55.11,0.61,0.27
-55.53,0.08,0.02
-55.36,0.27,0.10
-55.59,-0.02,-0.03
-55.19,0.44,0.18
-55.18,0.41,0.15
-55.27,0.28,0.09
-54.96,0.60,0.23
-54.98,0.53,0.19
-55.30,0.12,-0.01
-55.47,-0.09,-0.10
-55.24,0.17,0.02
-55.31,0.08,-0.02
-55.22,0.16,0.02
-54.88,0.54,0.19
-54.49,0.94,0.36
-54.09,1.31,0.51
-54.37,0.89,0.30
-54.53,0.63,0.16
-54.96,0.07,-0.10
-55.03,-0.02,-0.14
-54.95,0.06,-0.09
-55.21,-0.26,-0.23
-55.36,-0.43,-0.30
-55.39,-0.43,-0.29
-55.64,-0.70,-0.39
-55.57,-0.57,-0.32
-55.66,-0.63,-0.33
-55.86,-0.82,-0.40
-55.53,-0.38,-0.18
-55.65,-0.49,-0.22
-55.65,-0.45,-0.19
-55.53,-0.29,-0.11
-55.21,0.11,0.08
-55.54,-0.27,-0.10
-55.72,-0.46,-0.18
-55.70,-0.39,-0.14
-55.55,-0.20,-0.05
-55.37,0.03,0.06
-55.58,-0.20,-0.05
-55.89,-0.54,-0.20
-56.02,-0.64,-0.24
-55.89,-0.44,-0.13
-55.73,-0.22,-0.03
-55.61,-0.05,0.05
-55.88,-0.35,-0.09
-56.11,-0.59,-0.19
-56.13,-0.56,-0.17
-56.06,-0.43,-0.10
-56.05,-0.37,-0.07
-56.16,-0.47,-0.11
-55.96,-0.19,0.02
-56.08,-0.30,-0.03
-56.04,-0.22,0.01
-56.27,-0.46,-0.10
-56.10,-0.22,0.01
-56.27,-0.38,-0.06
-56.77,-0.92,-0.31
-56.88,-0.96,-0.31
-56.79,-0.78,-0.21
-56.52,-0.40,-0.03
-56.13,0.10,0.20
-56.08,0.17,0.22
-56.10,0.15,0.20
-55.64,0.68,0.43
-55.29,1.04,0.58
-55.15,1.13,0.59
-55.31,0.87,0.44
-55.08,1.07,0.51
-55.06,1.02,0.47
-55.23,0.75,0.32
-55.68,0.17,0.04
-55.76,0.06,-0.01
-55.43,0.43,0.16
-55.75,0.03,-0.03
-56.09,-0.37,-0.21
-56.44,-0.75,-0.37
-56.26,-0.49,-0.24
-56.07,-0.24,-0.11
-55.94,-0.07,-0.03
-56.15,-0.31,-0.14
-55.92,-0.02,0.00
-55.65,0.30,0.15
-55.89,0.00,0.00
-56.02,-0.16,-0.07
-55.89,0.01,0.01
-55.84,0.07,0.04
-56.01,-0.13,-0.06
-55.89,0.02,0.01
-55.99,-0.09,-0.04
-55.66,0.28,0.14
-55.67,0.26,0.12
-55.71,0.19,0.08
-55.62,0.28,0.12
-55.53,0.36,0.15
-55.32,0.57,0.24
-55.45,0.37,0.14
-55.73,0.02,-0.03
-56.07,-0.37,-0.21
-55.91,-0.17,-0.10
-55.79,-0.01,-0.03
-55.84,-0.08,-0.06
-56.03,-0.29,-0.15
-56.17,-0.43,-0.21
-56.36,-0.62,-0.28
-56.13,-0.30,-0.13
-56.10,-0.24,-0.09
-56.19,-0.33,-0.13
-56.10,-0.19,-0.06
-56.11,-0.20,-0.06
-56.22,-0.31,-0.11
-55.82,0.18,0.12
-56.06,-0.10,-0.01
-56.19,-0.24,-0.07
-56.26,-0.30,-0.10
-56.65,-0.72,-0.29
-56.71,-0.73,-0.28
-56.56,-0.50,-0.16
-56.64,-0.54,-0.17
-57.09,-1.01,-0.38
-57.21,-1.06,-0.38
-56.59,-0.26,0.00
-56.37,0.02,0.13
-56.44,-0.05,0.09
-56.40,0.02,0.12
-56.02,0.46,0.31
-56.35,0.05,0.11
-56.74,-0.39,-0.09
-57.28,-0.97,-0.35
-57.40,-1.03,-0.36
-57.36,-0.89,-0.28
-57.13,-0.55,-0.11
-57.10,-0.46,-0.07
-57.37,-0.71,-0.18
-57.06,-0.30,0.02
-56.74,0.11,0.20
-56.77,0.08,0.18
-56.84,0.01,0.14
-56.91,-0.06,0.10
-57.16,-0.33,-0.03
-57.17,-0.30,-0.01
-57.14,-0.22,0.02
-57.34,-0.43,-0.07
-57.12,-0.13,0.07
-57.55,-0.60,-0.15
-57.54,-0.54,-0.11
-57.36,-0.27,0.01
-56.96,0.22,0.23
-56.92,0.26,0.24
-56.54,0.69,0.43
-56.36,0.86,0.48
-56.34,0.82,0.44
-55.70,1.50,0.73
-55.42,1.71,0.79
-55.60,1.37,0.60
-55.63,1.24,0.51
-55.31,1.50,0.60
-55.14,1.58,0.61
-55.33,1.23,0.42
-55.42,1.02,0.31
-55.54,0.79,0.19
-55.16,1.15,0.34
-55.01,1.21,0.35
-54.83,1.31,0.38
-54.88,1.13,0.28
-54.07,1.96,0.64
-53.32,2.64,0.92
-52.81,3.00,1.04
-53.09,2.42,0.73
-53.34,1.91,0.46
-54.18,0.77,-0.08
-54.40,0.41,-0.24
-54.39,0.35,-0.25
-54.58,0.06,-0.37
-54.77,-0.20,-0.47
-54.97,-0.45,-0.56
-55.29,-0.82,-0.71
-55.95,-1.55,-1.00
-56.76,-2.39,-1.34
-56.32,-1.73,-0.97
-56.35,-1.65,-0.89
-56.99,-2.27,-1.13
-57.45,-2.64,-1.24
-57.99,-3.06,-1.38
-57.75,-2.56,-1.08
-58.19,-2.85,-1.16
-58.47,-2.95,-1.15
-58.54,-2.79,-1.02
-58.48,-2.48,-0.83
-59.15,-3.03,-1.05
-58.98,-2.57,-0.79
-58.96,-2.31,-0.63
-59.04,-2.20,-0.55
-58.65,-1.53,-0.22
-58.65,-1.37,-0.13
-58.65,-1.22,-0.06
-58.64,-1.07,0.01
-58.99,-1.33,-0.11
-58.77,-0.93,0.08
-58.39,-0.37,0.33
-58.56,-0.49,0.26
-58.59,-0.44,0.27
-58.37,-0.11,0.41
-58.18,0.16,0.51
-58.43,-0.10,0.37
-58.59,-0.23,0.29
-58.79,-0.40,0.20
-59.03,-0.61,0.09
-58.84,-0.31,0.23
-58.76,-0.15,0.29
-58.38,0.32,0.49
-58.39,0.32,0.47
-58.09,0.67,0.60
-58.07,0.68,0.58
-58.31,0.37,0.41
-58.09,0.62,0.50
-57.91,0.81,0.57
-58.07,0.58,0.43
-57.87,0.78,0.50
-57.61,1.03,0.60
-57.48,1.12,0.61
-57.49,1.03,0.54
-57.31,1.17,0.57
-57.03,1.40,0.65
-57.06,1.26,0.56
-57.41,0.77,0.30
-57.50,0.60,0.21
-57.64,0.38,0.11
-57.38,0.65,0.22
-57.42,0.55,0.17
-57.24,0.71,0.23
-57.13,0.77,0.25
-57.08,0.76,0.23
-57.06,0.71,0.20
-57.55,0.08,-0.10
-57.12,0.56,0.12
-57.11,0.52,0.10
-57.20,0.36,0.02
-57.21,0.30,-0.00
-57.09,0.40,0.04
-57.11,0.34,0.01
-57.07,0.35,0.01
-57.08,0.29,-0.01
-57.15,0.18,-0.06
-57.41,-0.15,-0.21
-57.27,0.01,-0.13
-57.39,-0.14,-0.19
-57.00,0.30,0.02
-56.73,0.57,0.14
-56.47,0.82,0.25
-56.99,0.15,-0.07
-57.07,0.04,-0.12
-57.28,-0.22,-0.23
-57.54,-0.51,-0.35
-57.74,-0.72,-0.43
-57.37,-0.25,-0.19
-56.89,0.31,0.07
-57.14,-0.01,-0.08
-56.94,0.22,0.03
-56.83,0.32,0.08
-56.96,0.14,-0.01
-57.03,0.05,-0.05
-57.02,0.05,-0.05
-57.28,-0.26,-0.19
-57.14,-0.09,-0.10
-56.95,0.13,0.00
-57.11,-0.07,-0.09
-57.04,0.01,-0.05
-56.82,0.25,0.07
-56.74,0.32,0.09
-56.43,0.65,0.24
-56.33,0.70,0.25
-56.32,0.66,0.22
-56.04,0.92,0.33
-55.96,0.93,0.32
-56.10,0.69,0.19
-56.32,0.38,0.04
-56.62,-0.01,-0.14
-56.69,-0.10,-0.17
-56.56,0.05,-0.10
-56.61,-0.03,-0.13
-56.65,-0.09,-0.15
-56.43,0.17,-0.03
-56.27,0.32,0.05
-56.11,0.47,0.11
-56.50,-0.02,-0.12
-56.28,0.22,-0.00
-56.30,0.17,-0.02
-56.25,0.20,-0.01
-56.50,-0.11,-0.15
-56.29,0.14,-0.03
-56.31,0.09,-0.05
-56.22,0.18,-0.01
-55.79,0.65,0.21
-55.90,0.46,0.11
-55.75,0.59,0.16
-55.94,0.32,0.03
-56.21,-0.02,-0.12
-56.18,0.00,-0.11
-56.57,-0.46,-0.31
-56.67,-0.55,-0.34
-56.76,-0.62,-0.35
-57.19,-1.07,-0.54
-57.00,-0.78,-0.38
-57.01,-0.74,-0.34
-57.03,-0.70,-0.31
-56.82,-0.41,-0.16
-56.66,-0.19,-0.06
-56.64,-0.15,-0.03
-56.73,-0.24,-0.07
-56.86,-0.37,-0.13
-56.71,-0.16,-0.03
-56.70,-0.13,-0.01
-56.82,-0.26,-0.07
-56.56,0.06,0.08
-56.13,0.55,0.30
-56.45,0.16,0.10
-56.42,0.17,0.11
-56.44,0.14,0.09
-56.25,0.36,0.18
-56.44,0.12,0.06
-56.16,0.43,0.20
-56.34,0.18,0.08
-56.34,0.17,0.07
-56.09,0.44,0.19
-56.01,0.50,0.21
-56.00,0.48,0.19
-56.11,0.31,0.10
-56.44,-0.10,-0.09
-56.06,0.34,0.12
-56.19,0.16,0.03
-56.13,0.22,0.05
-55.94,0.41,0.14
-55.84,0.49,0.17
-56.17,0.07,-0.03
-56.14,0.09,-0.02
-56.44,-0.27,-0.18
-56.18,0.04,-0.03
-56.10,0.13,0.01
-55.81,0.45,0.15
-55.99,0.20,0.03
-56.28,-0.15,-0.13
-56.45,-0.34,-0.21
-56.36,-0.22,-0.15
-56.69,-0.58,-0.30
-56.36,-0.16,-0.10
-56.72,-0.57,-0.28
-56.89,-0.72,-0.33
-56.73,-0.49,-0.21
-56.81,-0.54,-0.22
-56.68,-0.34,-0.12
-56.21,0.22,0.14
-55.93,0.53,0.27
-55.59,0.89,0.42
-55.39,1.04,0.47
-55.65,0.67,0.28
-55.81,0.43,0.16
-55.83,0.38,0.13
-55.80,0.37,0.12
-55.77,0.37,0.11
-55.62,0.51,0.17
-56.00,0.04,-0.05
-56.11,-0.10,-0.12
-56.47,-0.52,-0.30
-56.50,-0.52,-0.29
-56.64,-0.64,-0.33
-56.18,-0.07,-0.05
-56.25,-0.15,-0.08
-55.90,0.26,0.11
-56.04,0.09,0.02
-56.10,0.01,-0.02
-56.09,0.02,-0.01
-55.96,0.17,0.06
-55.91,0.20,0.07
-55.94,0.15,0.05
-56.11,-0.05,-0.05
-56.27,-0.24,-0.13
-56.61,-0.61,-0.29
-56.80,-0.79,-0.36
-56.73,-0.64,-0.28
-56.60,-0.45,-0.18
-56.52,-0.32,-0.11
-56.55,-0.32,-0.10
-56.51,-0.25,-0.07
-56.57,-0.30,-0.09
-56.31,0.03,0.06
-56.31,0.03,0.06
-56.74,-0.46,-0.16
-56.45,-0.08,0.02
-56.23,0.17,0.13
-56.04,0.39,0.23
-56.01,0.39,0.22
-56.32,0.01,0.03
-56.43,-0.11,-0.03
-56.31,0.04,0.04
-56.49,-0.17,-0.05
-56.68,-0.37,-0.14
-56.76,-0.43,-0.16
-56.58,-0.19,-0.05
-56.69,-0.30,-0.09
-56.45,0.00,0.05
-56.55,-0.10,0.00
-56.37,0.12,0.10
-56.39,0.08,0.08
-56.45,0.02,0.04
-56.69,-0.26,-0.08
-56.63,-0.17,-0.04
-56.80,-0.34,-0.11
-56.70,-0.20,-0.04
-56.54,-0.00,0.05
-56.25,0.34,0.20
-56.52,0.01,0.04
-56.60,-0.08,0.00
-56.40,0.16,0.11
-56.41,0.14,0.09
-56.40,0.14,0.09
-56.48,0.05,0.04
-56.62,-0.12,-0.04
-56.83,-0.34,-0.14
-57.04,-0.56,-0.23
-57.00,-0.47,-0.18
-56.99,-0.42,-0.14
-56.90,-0.28,-0.08
-57.17,-0.57,-0.20
-57.41,-0.79,-0.29
-57.32,-0.62,-0.20
-57.03,-0.24,-0.02
-56.78,0.09,0.13
-56.41,0.51,0.32
-56.41,0.47,0.28
-56.62,0.21,0.15
-56.31,0.56,0.30
-56.50,0.30,0.17
-56.72,0.03,0.04
-56.75,-0.01,0.02
-56.50,0.28,0.15
-56.25,0.55,0.27
-56.15,0.62,0.29
-56.24,0.48,0.21
-56.10,0.60,0.25
-56.36,0.25,0.08
-56.25,0.35,0.12
-56.49,0.05,-0.02
-56.64,-0.13,-0.10
-56.52,0.01,-0.03
-56.51,0.02,-0.03
-56.23,0.34,0.12
-56.13,0.42,0.15
-56.33,0.16,0.02
-56.60,-0.16,-0.12
-56.26,0.23,0.06
-56.05,0.45,0.16
-55.77,0.73,0.28
-55.73,0.72,0.26
-56.06,0.28,0.05
-55.82,0.53,0.16
-55.66,0.66,0.21
-55.91,0.32,0.05
-55.92,0.27,0.02
-56.01,0.14,-0.04
-56.15,-0.04,-0.12
-56.09,0.02,-0.09
-56.02,0.09,-0.05
-55.83,0.29,0.04
-55.37,0.78,0.27
-55.12,1.01,0.36
-55.41,0.58,0.14
-55.37,0.57,0.13
-55.17,0.75,0.21
-55.35,0.47,0.07
-55.51,0.23,-0.04
-55.69,0.00,-0.14
-56.07,-0.46,-0.34
-56.34,-0.74,-0.46
-56.61,-1.00,-0.56
-56.27,-0.56,-0.33
-56.12,-0.35,-0.21
-55.46,0.43,0.15
-55.23,0.66,0.25
-54.83,1.07,0.42
-55.04,0.74,0.25
-54.70,1.07,0.39
-54.40,1.31,0.48
-54.65,0.92,0.28
-54.57,0.93,0.27
-54.87,0.50,0.06
-55.79,-0.62,-0.45
-55.97,-0.79,-0.50
-55.90,-0.66,-0.42
-56.12,-0.87,-0.50
-56.21,-0.92,-0.50
-56.13,-0.77,-0.40
-55.79,-0.33,-0.18
-56.04,-0.59,-0.30
-55.96,-0.46,-0.22
-55.84,-0.29,-0.13
-55.95,-0.39,-0.17
-56.03,-0.46,-0.20
-56.08,-0.47,-0.19
-56.05,-0.40,-0.15
-55.85,-0.14,-0.03
-55.68,0.07,0.07
-55.63,0.12,0.09
-55.50,0.27,0.15
-55.80,-0.09,-0.02
-56.10,-0.43,-0.17
-56.43,-0.78,-0.32
-56.43,-0.70,-0.27
-56.67,-0.92,-0.36
-56.48,-0.63,-0.21
-56.66,-0.78,-0.26
-56.72,-0.78,-0.25
-56.83,-0.85,-0.27
-56.40,-0.27,0.00
-56.64,-0.51,-0.11
-56.31,-0.08,0.10
-56.07,0.21,0.22
-56.06,0.21,0.21
-56.29,-0.05,0.08
-56.45,-0.22,0.00
-56.40,-0.14,0.04
-56.36,-0.07,0.07
-56.89,-0.66,-0.20
-56.85,-0.56,-0.15
-56.40,0.01,0.12
-56.38,0.05,0.13
-55.95,0.54,0.35
-55.98,0.49,0.31
-56.18,0.22,0.17
-55.97,0.46,0.27
-55.71,0.72,0.38
-55.58,0.82,0.40
-55.36,1.01,0.47
-55.37,0.93,0.41
-55.28,0.97,0.41
-55.28,0.89,0.35
-55.41,0.67,0.24
-55.70,0.28,0.05
-55.99,-0.08,-0.12
-56.26,-0.40,-0.26
-56.51,-0.67,-0.37
-56.15,-0.21,-0.14
-55.95,0.04,-0.02
-55.88,0.11,0.01
-56.13,-0.19,-0.12
-56.42,-0.51,-0.26
-56.18,-0.20,-0.11
-56.27,-0.29,-0.15
-56.49,-0.52,-0.24
-56.65,-0.67,-0.30
-56.73,-0.71,-0.30
-56.85,-0.79,-0.33
-56.52,-0.34,-0.11
-56.68,-0.50,-0.17
-57.03,-0.86,-0.33
-56.78,-0.50,-0.15
-57.10,-0.83,-0.29
-57.33,-1.02,-0.36
-57.45,-1.07,-0.37
-57.64,-1.19,-0.41
-57.68,-1.14,-0.36
-57.68,-1.03,-0.29
-57.15,-0.32,0.04
-57.24,-0.39,0.01
-57.14,-0.23,0.08
-57.20,-0.26,0.06
-57.34,-0.38,0.00
-57.50,-0.52,-0.06
-56.96,0.15,0.25
-56.61,0.57,0.43
-56.31,0.88,0.55
-56.13,1.03,0.59
-55.91,1.23,0.65
-56.15,0.87,0.45
-56.44,0.46,0.25
-56.71,0.13,0.08
-56.89,-0.09,-0.02
-57.14,-0.36,-0.14
-57.26,-0.47,-0.18
-57.49,-0.70,-0.28
-57.65,-0.82,-0.32
-57.46,-0.53,-0.17
-57.38,-0.40,-0.10
-57.29,-0.26,-0.04
-56.91,0.21,0.18
-56.98,0.12,0.13
-57.19,-0.12,0.02
-56.92,0.20,0.16
-56.78,0.35,0.22
-56.22,0.98,0.49
-56.05,1.10,0.53
-56.42,0.60,0.28
-56.50,0.46,0.20
-56.89,-0.02,-0.03
-56.92,-0.06,-0.05
-57.28,-0.46,-0.23
-57.84,-1.08,-0.50
-57.08,-0.12,-0.04
-57.08,-0.11,-0.03
-57.36,-0.42,-0.17
-57.30,-0.32,-0.12
-57.51,-0.53,-0.21
-57.82,-0.85,-0.34
-57.97,-0.95,-0.37
-57.87,-0.75,-0.26
-58.35,-1.24,-0.47
-58.44,-1.24,-0.45
-58.26,-0.93,-0.29
-58.13,-0.70,-0.17
-58.22,-0.73,-0.18
-58.20,-0.64,-0.12
-58.12,-0.48,-0.05
-57.74,0.01,0.18
-57.87,-0.13,0.11
-58.03,-0.28,0.03
-57.96,-0.17,0.08
-57.97,-0.15,0.09
-58.08,-0.24,0.04
-58.23,-0.38,-0.03
-58.25,-0.37,-0.02
-58.54,-0.65,-0.15
-58.32,-0.34,0.00
-58.17,-0.12,0.10
-58.05,0.03,0.17
-58.06,0.04,0.16
-58.05,0.06,0.17
-57.89,0.25,0.24
-58.07,0.04,0.14
-57.91,0.23,0.22
-58.05,0.07,0.13
-58.10,0.01,0.10
-57.75,0.42,0.28
-57.94,0.18,0.16
-57.99,0.12,0.12
-57.69,0.46,0.27
-58.00,0.08,0.09
-58.07,-0.01,0.04
-57.92,0.18,0.12
-58.26,-0.23,-0.07
-57.95,0.15,0.11
-58.24,-0.19,-0.05
-58.22,-0.15,-0.03
-57.61,0.57,0.30
-57.60,0.54,0.27
-57.36,0.77,0.36
-57.50,0.55,0.25
-57.84,0.12,0.04
-57.61,0.38,0.15
-57.59,0.37,0.14
-57.75,0.16,0.04
-57.85,0.02,-0.03
-57.99,-0.14,-0.10
-57.62,0.29,0.10
-57.90,-0.05,-0.06
-58.16,-0.35,-0.19
-58.37,-0.57,-0.28
-58.31,-0.46,-0.22
-58.37,-0.50,-0.22
-58.45,-0.55,-0.24
-58.21,-0.23,-0.08
-58.13,-0.12,-0.03
-58.09,-0.06,0.00
-57.81,0.27,0.15
-57.53,0.57,0.28
-57.52,0.54,0.25
-57.52,0.50,0.22
-57.24,0.78,0.34
-57.04,0.95,0.40
-56.31,1.72,0.73
-55.97,1.97,0.81
-56.06,1.71,0.65
-56.64,0.90,0.26
-57.00,0.40,0.02
-57.33,-0.03,-0.18
-57.46,-0.19,-0.25
-57.98,-0.78,-0.50
-57.90,-0.64,-0.42
-58.37,-1.15,-0.63
-58.52,-1.25,-0.64
-59.01,-1.72,-0.82
-59.07,-1.66,-0.76
-59.30,-1.81,-0.79
-59.81,-2.25,-0.95
-59.54,-1.76,-0.68
-59.59,-1.67,-0.61
-59.84,-1.82,-0.65
-59.47,-1.24,-0.35
-59.30,-0.93,-0.20
-58.91,-0.39,0.06
-59.39,-0.89,-0.17
-59.63,-1.07,-0.25
-60.07,-1.47,-0.42
-60.19,-1.47,-0.40
-59.98,-1.09,-0.20
-59.76,-0.73,-0.03
-59.70,-0.58,0.04
-59.44,-0.20,0.21
-59.40,-0.10,0.24
-59.34,-0.01,0.28
-59.22,0.16,0.34
-59.46,-0.10,0.21
-59.68,-0.32,0.10
-59.61,-0.19,0.15
-59.59,-0.13,0.17
-59.47,0.04,0.24
-59.24,0.32,0.36
-59.53,-0.01,0.19
-59.10,0.50,0.41
-59.48,0.05,0.18
-59.26,0.31,0.30
-59.04,0.55,0.39
-59.26,0.27,0.25
-59.24,0.29,0.24
-59.04,0.50,0.33
-58.86,0.68,0.39
-58.61,0.93,0.49
-58.55,0.93,0.46
-58.57,0.85,0.40
-58.62,0.73,0.33
-58.81,0.45,0.19
-58.76,0.48,0.19
-58.45,0.79,0.32
-58.98,0.12,0.00
-58.96,0.13,0.01
-58.89,0.19,0.04
-58.89,0.18,0.03
-58.28,0.86,0.34
-58.58,0.44,0.13
-58.16,0.88,0.33
-58.05,0.93,0.33
-57.95,0.97,0.33
-58.15,0.65,0.17
-58.41,0.29,0.00
-58.57,0.07,-0.10
-58.36,0.29,0.01
-58.31,0.32,0.02
-58.35,0.24,-0.02
-58.16,0.43,0.07
-58.08,0.48,0.09
-58.04,0.47,0.08
-58.01,0.45,0.07
-57.87,0.56,0.11
-58.27,0.06,-0.12
-58.05,0.29,-0.01
-57.91,0.41,0.04
-57.74,0.56,0.11
-58.11,0.08,-0.11
-58.00,0.19,-0.06
-58.29,-0.17,-0.22
-58.18,-0.05,-0.15
-58.16,-0.04,-0.14
-58.15,-0.04,-0.13
-58.34,-0.26,-0.23
-58.26,-0.16,-0.17
-58.61,-0.56,-0.35
-58.64,-0.56,-0.33
-58.79,-0.69,-0.37
-58.88,-0.76,-0.38
-58.53,-0.30,-0.16
-58.20,0.10,0.03
-57.76,0.60,0.26
-57.75,0.56,0.23
-57.98,0.25,0.08
-57.77,0.47,0.17
-57.70,0.51,0.18
-57.75,0.41,0.13
-57.78,0.34,0.09
-58.02,0.03,-0.05
-58.16,-0.14,-0.13
-58.02,0.03,-0.05
-58.40,-0.41,-0.25
-58.45,-0.45,-0.25
-58.78,-0.80,-0.40
-58.47,-0.39,-0.19
-58.66,-0.57,-0.27
-58.45,-0.29,-0.13
-58.73,-0.59,-0.26
-58.74,-0.55,-0.23
-58.40,-0.12,-0.02
-58.41,-0.12,-0.02
-58.31,0.00,0.04
-58.15,0.20,0.12
-58.26,0.06,0.06
-58.10,0.23,0.13
-58.33,-0.05,-0.00
-58.55,-0.29,-0.11
-58.43,-0.13,-0.03
