Time [s],Time Change [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
1024,0.0200,-0.08,-0.31,1.02,3.23,0.18166,0.09083
1046,0.0220,-0.08,-0.25,1.24,3.50,0.17997,0.08998
1067,0.0210,-0.74,-0.31,0.93,2.83,0.17684,0.08842
1087,0.0200,-0.74,-0.37,0.67,2.29,0.17266,0.08633
1107,0.0200,-0.74,-0.42,0.46,1.85,0.16887,0.08444
1129,0.0220,-0.74,-0.47,0.28,1.49,0.16759,0.08379
1150,0.0210,-0.58,-0.48,0.24,1.37,0.16500,0.08250
1175,0.0250,-0.58,-0.49,0.21,1.26,0.16662,0.08331
1195,0.0200,-0.58,-0.50,0.18,1.18,0.16231,0.08115
1217,0.0220,-0.58,-0.51,0.16,1.11,0.16038,0.08019
1238,0.0210,-0.41,-0.49,0.23,1.19,0.15743,0.07872
1258,0.0200,-0.41,-0.48,0.30,1.25,0.15372,0.07686
1278,0.0200,-0.41,-0.46,0.35,1.29,0.15034,0.07517
1300,0.0220,-0.41,-0.45,0.40,1.32,0.14897,0.07449
1321,0.0210,-0.25,-0.41,0.52,1.45,0.14664,0.07332
1341,0.0200,-0.25,-0.38,0.62,1.55,0.14359,0.07179
1361,0.0200,-0.25,-0.35,0.71,1.62,0.14077,0.07039
1389,0.0280,-0.25,-0.32,0.79,1.67,0.14434,0.07217
1410,0.0210,-0.25,-0.29,0.85,1.70,0.14158,0.07079
1430,0.0200,-0.25,-0.27,0.89,1.71,0.13827,0.06914
1450,0.0200,-0.25,-0.25,0.93,1.72,0.13526,0.06763
1472,0.0220,-0.25,-0.23,0.96,1.71,0.13388,0.06694
1493,0.0210,-0.25,-0.22,0.98,1.69,0.13179,0.06589
1513,0.0200,-0.25,-0.20,1.00,1.67,0.12913,0.06457
1533,0.0200,-0.25,-0.19,1.01,1.64,0.12669,0.06334
1555,0.0220,-0.25,-0.18,1.02,1.61,0.12565,0.06282
1576,0.0210,-0.50,-0.20,0.93,1.48,0.12394,0.06197
1601,0.0250,-0.50,-0.22,0.86,1.35,0.12465,0.06233
1621,0.0200,-0.50,-0.23,0.79,1.24,0.12212,0.06106
1643,0.0220,-0.50,-0.25,0.73,1.14,0.12091,0.06046
1664,0.0210,-0.25,-0.24,0.75,1.14,0.11914,0.05957
1684,0.0200,-0.25,-0.22,0.77,1.13,0.11690,0.05845
1704,0.0200,-0.25,-0.21,0.78,1.12,0.11484,0.05742
1726,0.0220,-0.25,-0.20,0.79,1.10,0.11392,0.05696
1747,0.0210,-0.17,-0.18,0.81,1.11,0.11247,0.05623
1767,0.0200,-0.17,-0.17,0.84,1.11,0.11059,0.05529
1787,0.0200,-0.17,-0.15,0.86,1.11,0.10882,0.05441
1815,0.0280,-0.17,-0.13,0.88,1.10,0.11088,0.05544
1836,0.0210,-0.33,-0.14,0.84,1.04,0.10927,0.05464
1856,0.0200,-0.33,-0.14,0.81,0.99,0.10730,0.05365
1876,0.0200,-0.33,-0.15,0.78,0.94,0.10547,0.05273
1898,0.0220,-0.33,-0.15,0.75,0.90,0.10461,0.05230
1919,0.0210,0.08,-0.11,0.82,0.94,0.10331,0.05166
1939,0.0200,0.08,-0.08,0.88,0.98,0.10166,0.05083
1959,0.0200,0.08,-0.05,0.93,1.01,0.10011,0.05006
1981,0.0220,0.08,-0.01,0.98,1.03,0.09943,0.04971
2002,0.0210,0.41,0.05,1.09,1.11,0.09834,0.04917
2027,0.0250,0.41,0.11,1.18,1.17,0.09878,0.04939
2047,0.0200,0.41,0.16,1.26,1.22,0.09720,0.04860
2069,0.0220,0.41,0.21,1.34,1.26,0.09645,0.04822
2090,0.0210,2.97,0.50,1.90,1.71,0.09533,0.04766
2110,0.0200,2.97,0.77,2.39,2.10,0.09390,0.04695
2130,0.0200,2.97,1.01,2.84,2.44,0.09256,0.04628
2152,0.0220,2.97,1.25,3.24,2.72,0.09196,0.04598
2173,0.0210,5.70,1.72,4.08,3.36,0.09101,0.04551
2193,0.0200,5.70,2.15,4.83,3.91,0.08978,0.04489
2213,0.0200,5.70,2.55,5.49,4.38,0.08861,0.04430
2235,0.0220,5.70,2.94,6.10,4.78,0.08811,0.04405
2263,0.0280,9.50,3.68,7.31,5.62,0.08942,0.04471
2283,0.0200,9.50,4.33,8.35,6.34,0.08808,0.04404
2303,0.0200,9.50,4.93,9.28,6.96,0.08683,0.04342
2325,0.0220,9.50,5.51,10.12,7.48,0.08623,0.04311
2346,0.0210,20.16,6.96,12.51,9.16,0.08533,0.04267
2366,0.0200,20.16,8.30,14.66,10.61,0.08419,0.04210
2386,0.0200,20.16,9.56,16.58,11.87,0.08311,0.04156
2408,0.0220,20.16,10.77,18.33,12.96,0.08262,0.04131
2429,0.0210,36.22,13.21,22.19,15.56,0.08186,0.04093
2449,0.0200,36.22,15.48,25.67,17.82,0.08086,0.04043
2474,0.0250,36.22,17.76,28.91,19.81,0.08118,0.04059
2496,0.0220,36.22,19.84,31.79,21.52,0.08065,0.04032
2517,0.0210,40.94,22.14,34.99,23.43,0.07986,0.03993
2537,0.0200,40.94,24.27,37.84,25.08,0.07886,0.03943
2557,0.0200,40.94,26.28,40.40,26.48,0.07791,0.03896
2579,0.0220,40.94,28.24,42.73,27.67,0.07748,0.03874
2600,0.0210,40.03,29.98,44.68,28.59,0.07681,0.03840
2620,0.0200,40.03,31.57,46.37,29.34,0.07592,0.03796
2640,0.0200,40.03,33.07,47.86,29.93,0.07508,0.03754
2662,0.0220,40.03,34.57,49.22,30.39,0.07472,0.03736
2690,0.0280,43.10,36.50,50.92,30.94,0.07566,0.03783
2710,0.0200,43.10,37.94,52.19,31.36,0.07472,0.03736
2730,0.0200,43.10,39.30,53.29,31.66,0.07384,0.03692
2752,0.0220,43.10,40.67,54.28,31.85,0.07341,0.03671
2773,0.0210,58.69,43.04,56.82,33.02,0.07278,0.03639
2793,0.0200,58.69,45.23,59.06,34.00,0.07196,0.03598
2813,0.0200,58.69,47.29,61.05,34.81,0.07118,0.03559
2835,0.0220,58.69,49.35,62.88,35.46,0.07083,0.03542
2856,0.0210,78.47,52.64,66.51,37.21,0.07028,0.03514
2881,0.0250,78.47,56.01,69.93,38.71,0.07050,0.03525
2901,0.0200,78.47,58.89,72.84,39.99,0.06973,0.03486
2923,0.0220,78.47,61.75,75.52,41.05,0.06935,0.03468
2944,0.0210,68.99,63.73,76.94,41.38,0.06880,0.03440
2964,0.0200,68.99,65.53,78.13,41.59,0.06807,0.03404
2984,0.0200,68.99,67.23,79.14,41.70,0.06738,0.03369
3006,0.0220,68.99,68.98,80.06,41.70,0.06707,0.03354
3027,0.0210,75.14,70.97,81.35,41.93,0.06658,0.03329
3047,0.0200,75.14,72.77,82.42,42.06,0.06594,0.03297
3067,0.0200,75.14,74.47,83.33,42.10,0.06532,0.03266
3095,0.0280,75.14,76.71,84.35,42.02,0.06605,0.03303
3116,0.0210,73.06,78.14,84.75,41.75,0.06554,0.03277
3136,0.0200,73.06,79.40,85.00,41.43,0.06488,0.03244
3156,0.0200,73.06,80.59,85.14,41.05,0.06424,0.03212
3178,0.0220,73.06,81.87,85.24,40.62,0.06395,0.03198
3199,0.0210,83.54,83.66,86.08,40.61,0.06350,0.03175
3219,0.0200,83.54,85.28,86.74,40.53,0.06291,0.03145
3239,0.0200,83.54,86.80,87.27,40.38,0.06234,0.03117
3261,0.0220,83.54,88.41,87.74,40.16,0.06209,0.03105
3282,0.0210,91.87,90.36,88.71,40.23,0.06169,0.03085
3307,0.0250,91.87,92.55,89.66,40.20,0.06189,0.03095
3327,0.0200,91.87,94.20,90.27,40.10,0.06132,0.03066
3349,0.0220,91.87,95.93,90.82,39.93,0.06106,0.03053
3370,0.0210,93.03,97.55,91.30,39.74,0.06065,0.03033
3390,0.0200,93.03,99.01,91.62,39.51,0.06011,0.03006
3410,0.0200,93.03,100.38,91.83,39.22,0.05960,0.02980
3432,0.0220,93.03,101.85,92.01,38.88,0.05937,0.02969
3453,0.0210,106.20,103.94,93.00,38.96,0.05901,0.02951
3473,0.0200,106.20,105.83,93.81,38.98,0.05852,0.02926
3500,0.0270,106.20,108.25,94.71,38.90,0.05898,0.02949
3522,0.0220,106.20,110.10,95.27,38.76,0.05873,0.02936
3543,0.0210,121.22,112.64,96.72,39.06,0.05834,0.02917
3563,0.0200,121.22,114.96,97.96,39.28,0.05783,0.02892
3583,0.0200,121.22,117.18,99.03,39.42,0.05735,0.02867
3605,0.0220,121.22,119.47,100.02,39.48,0.05713,0.02857
3626,0.0210,145.39,122.93,102.43,40.22,0.05679,0.02839
3646,0.0200,145.39,126.14,104.56,40.84,0.05633,0.02816
3666,0.0200,145.39,129.20,106.48,41.35,0.05589,0.02794
3693,0.0270,145.39,132.84,108.45,41.74,0.05631,0.02815
3714,0.0210,204.15,138.99,113.72,43.75,0.05596,0.02798
3734,0.0200,204.15,144.76,118.55,45.54,0.05550,0.02775
3754,0.0200,204.15,150.28,122.99,47.14,0.05506,0.02753
3776,0.0220,204.15,155.80,127.17,48.55,0.05487,0.02743
3797,0.0210,421.43,172.83,144.16,55.67,0.05456,0.02728
3817,0.0200,421.43,189.03,160.01,62.20,0.05414,0.02707
3837,0.0200,421.43,204.55,174.82,68.18,0.05374,0.02687
3859,0.0220,421.43,219.83,188.83,73.66,0.05357,0.02679
3880,0.0210,609.18,244.35,212.77,83.41,0.05329,0.02665
3907,0.0270,609.18,269.40,235.92,92.44,0.05368,0.02684
3927,0.0200,609.18,291.98,257.02,100.72,0.05326,0.02663
3949,0.0220,609.18,314.19,276.98,108.30,0.05307,0.02654
3970,0.0210,597.10,334.65,294.87,114.93,0.05278,0.02639
3990,0.0200,597.10,354.01,311.44,120.96,0.05238,0.02619
4010,0.0200,597.10,372.58,326.89,126.43,0.05200,0.02600
4032,0.0220,597.10,391.07,341.52,131.38,0.05184,0.02592
4053,0.0210,577.88,407.53,353.98,135.40,0.05158,0.02579
4073,0.0200,577.88,423.00,365.40,139.00,0.05122,0.02561
4098,0.0250,577.88,439.67,376.63,142.18,0.05137,0.02569
4120,0.0220,577.88,454.64,386.62,144.98,0.05121,0.02560
4141,0.0210,363.47,457.73,384.47,142.87,0.05094,0.02547
4161,0.0200,363.47,460.29,382.06,140.75,0.05058,0.02529
4181,0.0200,363.47,462.71,379.53,138.61,0.05023,0.02512
4203,0.0220,363.47,465.70,377.12,136.43,0.05009,0.02505
4224,0.0210,96.53,454.85,361.04,128.91,0.04985,0.02493
4244,0.0200,96.53,444.00,345.45,121.74,0.04952,0.02476
4264,0.0200,96.53,433.49,330.47,114.90,0.04920,0.02460
4292,0.0280,96.53,425.60,316.59,108.23,0.04964,0.02482
4313,0.0210,79.63,414.86,301.62,101.54,0.04939,0.02470
4333,0.0200,79.63,404.17,287.15,95.18,0.04905,0.02453
4353,0.0200,79.63,393.84,273.26,89.11,0.04873,0.02437
4375,0.0220,79.63,384.31,260.02,83.31,0.04860,0.02430
4396,0.0210,81.80,374.89,247.28,77.80,0.04837,0.02419
4416,0.0200,81.80,365.52,234.95,72.56,0.04807,0.02403
4436,0.0200,81.80,356.46,223.11,67.56,0.04777,0.02388
4458,0.0220,81.80,348.06,211.80,62.77,0.04766,0.02383
4484,0.0260,85.87,340.77,201.17,58.21,0.04789,0.02394
4504,0.0200,85.87,332.48,190.60,53.87,0.04758,0.02379
4524,0.0200,85.87,324.46,180.44,49.74,0.04728,0.02364
4546,0.0220,85.87,317.00,170.73,45.78,0.04716,0.02358
4567,0.0210,96.53,310.08,161.79,42.17,0.04696,0.02348
4587,0.0200,96.53,303.20,153.15,38.73,0.04667,0.02334
4607,0.0200,96.53,296.54,144.84,35.46,0.04640,0.02320
4629,0.0220,96.53,290.33,136.87,32.32,0.04630,0.02315
4650,0.0210,129.66,285.67,130.56,29.82,0.04611,0.02306
4677,0.0270,129.66,281.80,124.53,27.39,0.04642,0.02321
4697,0.0200,129.66,277.16,118.52,25.08,0.04613,0.02307
4719,0.0220,129.66,272.87,112.74,22.85,0.04602,0.02301
4740,0.0210,144.97,269.27,107.78,20.95,0.04582,0.02291
4760,0.0200,144.97,265.67,102.96,19.12,0.04555,0.02278
4780,0.0200,144.97,262.17,98.31,17.38,0.04529,0.02265
4802,0.0220,144.97,258.94,93.82,15.70,0.04519,0.02260
4823,0.0210,137.02,255.34,89.14,13.98,0.04502,0.02251
4843,0.0200,137.02,251.75,84.60,12.33,0.04477,0.02238
4868,0.0250,137.02,248.62,80.23,10.74,0.04491,0.02245
4890,0.0220,137.02,245.31,75.95,9.21,0.04481,0.02240
4911,0.0210,122.64,241.36,71.23,7.56,0.04463,0.02231
4931,0.0200,122.64,237.46,66.67,5.98,0.04438,0.02219
4951,0.0200,122.64,233.66,62.28,4.48,0.04414,0.02207
4973,0.0220,122.64,230.08,58.04,3.03,0.04405,0.02202
4994,0.0210,122.48,226.53,53.92,1.65,0.04389,0.02194
5014,0.0200,122.48,223.02,49.96,0.34,0.04366,0.02183
5034,0.0200,122.48,219.61,46.14,-0.92,0.04343,0.02172
5056,0.0220,122.48,216.36,42.43,-2.12,0.04336,0.02168
5084,0.0280,125.90,213.55,38.92,-3.24,0.04372,0.02186
5104,0.0200,125.90,210.48,35.55,-4.31,0.04348,0.02174
5124,0.0200,125.90,207.50,32.30,-5.33,0.04325,0.02162
5146,0.0220,125.90,204.66,29.15,-6.30,0.04316,0.02158
5167,0.0210,131.84,202.11,26.32,-7.15,0.04301,0.02150
5187,0.0200,131.84,199.61,23.61,-7.97,0.04279,0.02139
5207,0.0200,131.84,197.17,20.99,-8.75,0.04257,0.02129
5229,0.0220,131.84,194.83,18.44,-9.49,0.04250,0.02125
5250,0.0210,138.28,192.81,16.21,-10.13,0.04236,0.02118
5275,0.0250,138.28,190.88,14.00,-10.74,0.04250,0.02125
5295,0.0200,138.28,188.92,11.92,-11.32,0.04228,0.02114
5317,0.0220,138.28,187.03,9.88,-11.87,0.04221,0.02110
5338,0.0210,153.18,185.80,8.44,-12.24,0.04207,0.02103
5358,0.0200,153.18,184.59,7.05,-12.59,0.04186,0.02093
5378,0.0200,153.18,183.42,5.72,-12.92,0.04166,0.02083
5400,0.0220,153.18,182.28,4.39,-13.24,0.04160,0.02080
5421,0.0210,156.53,181.30,3.23,-13.50,0.04147,0.02074
5441,0.0200,156.53,180.33,2.12,-13.76,0.04128,0.02064
5468,0.0270,156.53,179.39,0.94,-14.00,0.04155,0.02078
5490,0.0220,156.53,178.46,-0.14,-14.23,0.04148,0.02074
5511,0.0210,149.07,177.24,-1.43,-14.53,0.04134,0.02067
5531,0.0200,149.07,176.05,-2.66,-14.80,0.04115,0.02057
5551,0.0200,149.07,174.89,-3.85,-15.07,0.04095,0.02048
5573,0.0220,149.07,173.75,-5.03,-15.32,0.04090,0.02045
5594,0.0210,181.53,173.96,-5.09,-15.24,0.04077,0.02039
5614,0.0200,181.53,174.17,-5.14,-15.17,0.04059,0.02030
5634,0.0200,181.53,174.37,-5.21,-15.10,0.04041,0.02021
5661,0.0270,181.53,174.52,-5.38,-15.03,0.04068,0.02034
5682,0.0210,203.48,175.58,-4.75,-14.76,0.04055,0.02028
5702,0.0200,203.48,176.61,-4.15,-14.50,0.04037,0.02018
5722,0.0200,203.48,177.61,-3.58,-14.25,0.04019,0.02009
5744,0.0220,203.48,178.57,-3.07,-14.02,0.04014,0.02007
5765,0.0210,259.53,181.75,-0.81,-13.29,0.04003,0.02001
5785,0.0200,259.53,184.83,1.36,-12.60,0.03985,0.01993
5805,0.0200,259.53,187.82,3.44,-11.94,0.03969,0.01984
5827,0.0220,259.53,190.73,5.40,-11.32,0.03965,0.01982
5848,0.0210,281.81,194.44,7.97,-10.53,0.03955,0.01977
5875,0.0270,281.81,198.12,10.39,-9.77,0.03980,0.01990
5895,0.0200,281.81,201.63,12.77,-9.06,0.03963,0.01982
5917,0.0220,281.81,205.07,15.03,-8.38,0.03958,0.01979
5938,0.0210,282.15,208.42,17.20,-7.73,0.03947,0.01974
5958,0.0200,282.15,211.65,19.27,-7.12,0.03931,0.01965
5978,0.0200,282.15,214.77,21.24,-6.53,0.03915,0.01957
6000,0.0220,282.15,217.86,23.11,-5.98,0.03911,0.01955
6021,0.0210,308.73,221.87,25.69,-5.25,0.03901,0.01951
6041,0.0200,308.73,225.74,28.16,-4.55,0.03886,0.01943
6066,0.0250,308.73,229.65,30.50,-3.88,0.03900,0.01950
6088,0.0220,308.73,233.37,32.75,-3.25,0.03895,0.01948
6109,0.0210,353.99,238.72,36.23,-2.30,0.03885,0.01943
6129,0.0200,353.99,243.88,39.55,-1.40,0.03870,0.01935
6149,0.0200,353.99,248.88,42.72,-0.54,0.03855,0.01928
6171,0.0220,353.99,253.83,45.74,0.27,0.03852,0.01926
6192,0.0210,495.37,264.04,52.73,2.12,0.03843,0.01921
6212,0.0200,495.37,273.91,59.42,3.88,0.03828,0.01914
6232,0.0200,495.37,283.50,65.82,5.55,0.03815,0.01907
6260,0.0280,495.37,293.42,72.05,7.14,0.03845,0.01923
6281,0.0210,570.72,305.52,80.13,9.22,0.03836,0.01918
6301,0.0200,570.72,317.19,87.86,11.19,0.03821,0.01911
6321,0.0200,570.72,328.54,95.24,13.06,0.03807,0.01903
6343,0.0220,570.72,339.77,102.34,14.83,0.03804,0.01902
6364,0.0210,561.48,350.25,108.86,16.43,0.03795,0.01898
6384,0.0200,561.48,360.34,115.06,17.95,0.03782,0.01891
6404,0.0200,561.48,370.14,120.98,19.38,0.03768,0.01884
6426,0.0220,561.48,379.91,126.67,20.73,0.03766,0.01883
6447,0.0210,450.44,385.13,128.99,21.21,0.03759,0.01879
6472,0.0250,450.44,390.70,131.25,21.65,0.03773,0.01886
6492,0.0200,450.44,395.48,133.27,22.06,0.03759,0.01880
6514,0.0220,450.44,400.37,135.19,22.42,0.03757,0.01878
6535,0.0210,410.86,403.50,135.87,22.47,0.03749,0.01874
6555,0.0200,410.86,406.39,136.45,22.51,0.03736,0.01868
6575,0.0200,410.86,409.19,136.95,22.52,0.03723,0.01862
6597,0.0220,410.86,412.16,137.41,22.51,0.03722,0.01861
6618,0.0210,432.27,415.69,138.35,22.63,0.03715,0.01857
6638,0.0200,432.27,418.97,139.17,22.72,0.03703,0.01851
6665,0.0270,432.27,423.09,140.04,22.78,0.03727,0.01864
6687,0.0220,432.27,426.41,140.71,22.82,0.03725,0.01862
6708,0.0210,402.27,428.36,140.46,22.64,0.03717,0.01859
6728,0.0200,402.27,430.10,140.13,22.45,0.03705,0.01852
6748,0.0200,402.27,431.78,139.76,22.25,0.03692,0.01846
6770,0.0220,402.27,433.66,139.38,22.04,0.03691,0.01845
6791,0.0210,279.27,430.79,135.66,21.01,0.03684,0.01842
6811,0.0200,279.27,427.85,132.00,20.01,0.03672,0.01836
6831,0.0200,279.27,424.96,128.41,19.04,0.03661,0.01830
6858,0.0270,279.27,422.93,124.97,18.08,0.03685,0.01843
6879,0.0210,200.79,417.29,119.41,16.64,0.03678,0.01839
6899,0.0200,200.79,411.66,113.99,15.25,0.03666,0.01833
6919,0.0200,200.79,406.15,108.71,13.90,0.03654,0.01827
6941,0.0220,200.79,400.96,103.58,12.60,0.03653,0.01827
6962,0.0210,180.10,395.00,98.04,11.20,0.03647,0.01823
6982,0.0200,180.10,389.08,92.63,9.85,0.03636,0.01818
7002,0.0200,180.10,383.30,87.38,8.55,0.03625,0.01812
7024,0.0220,180.10,377.79,82.28,7.29,0.03624,0.01812
7052,0.0280,186.32,373.01,77.44,6.09,0.03653,0.01827
7072,0.0200,186.32,367.71,72.69,4.93,0.03642,0.01821
7092,0.0200,186.32,362.53,68.08,3.82,0.03630,0.01815
7114,0.0220,186.32,357.58,63.59,2.74,0.03629,0.01814
7135,0.0210,185.82,352.64,59.20,1.69,0.03623,0.01811
7155,0.0200,185.82,347.76,54.95,0.68,0.03612,0.01806
7175,0.0200,185.82,342.99,50.81,-0.29,0.03601,0.01801
7197,0.0220,185.82,338.40,46.78,-1.24,0.03600,0.01800
7218,0.0210,185.06,333.84,42.85,-2.15,0.03595,0.01797
7238,0.0200,185.06,329.33,39.03,-3.03,0.03585,0.01792
7263,0.0250,185.06,325.08,35.27,-3.89,0.03599,0.01800
7285,0.0220,185.06,320.79,31.62,-4.72,0.03598,0.01799
7306,0.0210,216.62,317.68,28.88,-5.33,0.03593,0.01796
7326,0.0200,216.62,314.62,26.22,-5.92,0.03582,0.01791
7346,0.0200,216.62,311.62,23.63,-6.49,0.03572,0.01786
7368,0.0220,216.62,308.73,21.10,-7.04,0.03572,0.01786
7389,0.0210,262.83,307.52,19.80,-7.31,0.03567,0.01783
7409,0.0200,262.83,306.31,18.53,-7.56,0.03557,0.01778
7429,0.0200,262.83,305.12,17.29,-7.81,0.03547,0.01774
7457,0.0280,262.83,304.07,16.01,-8.06,0.03577,0.01788
7478,0.0210,305.08,304.43,15.86,-8.05,0.03571,0.01786
7498,0.0200,305.08,304.76,15.70,-8.05,0.03561,0.01780
7518,0.0200,305.08,305.07,15.54,-8.05,0.03551,0.01775
7540,0.0220,305.08,305.40,15.36,-8.05,0.03551,0.01775
7561,0.0210,345.96,307.15,16.18,-7.83,0.03546,0.01773
7581,0.0200,345.96,308.83,16.97,-7.62,0.03536,0.01768
7601,0.0200,345.96,310.47,17.71,-7.41,0.03527,0.01764
7623,0.0220,345.96,312.09,18.41,-7.22,0.03528,0.01764
7649,0.0260,390.27,315.33,20.13,-6.79,0.03547,0.01774
7669,0.0200,390.27,318.36,21.82,-6.38,0.03537,0.01769
7689,0.0200,390.27,321.32,23.44,-5.99,0.03528,0.01764
7711,0.0220,390.27,324.25,24.97,-5.61,0.03528,0.01764
7732,0.0210,524.16,331.80,29.70,-4.53,0.03524,0.01762
7752,0.0200,524.16,339.13,34.26,-3.49,0.03514,0.01757
7772,0.0200,524.16,346.28,38.65,-2.50,0.03506,0.01753
7794,0.0220,524.16,353.33,42.87,-1.54,0.03506,0.01753
7815,0.0210,550.07,361.09,47.55,-0.50,0.03502,0.01751
7835,0.0200,550.07,368.61,52.06,0.51,0.03494,0.01747
7862,0.0270,550.07,376.35,56.43,1.47,0.03518,0.01759
7884,0.0220,550.07,383.66,60.64,2.40,0.03518,0.01759
7905,0.0210,570.72,391.47,65.17,3.39,0.03514,0.01757
7925,0.0200,570.72,399.01,69.52,4.33,0.03505,0.01752
7945,0.0200,570.72,406.35,73.69,5.23,0.03496,0.01748
7967,0.0220,570.72,413.67,77.70,6.09,0.03496,0.01748
7988,0.0210,579.10,421.02,81.75,6.95,0.03492,0.01746
8008,0.0200,579.10,428.11,85.62,7.77,0.03484,0.01742
8028,0.0200,579.10,435.01,89.32,8.55,0.03476,0.01738
8055,0.0270,579.10,442.38,92.94,9.29,0.03500,0.01750
8076,0.0210,585.74,449.28,96.52,10.03,0.03495,0.01748
8096,0.0200,585.74,455.90,99.92,10.73,0.03487,0.01743
8116,0.0200,585.74,462.35,103.17,11.39,0.03478,0.01739
8138,0.0220,585.74,468.83,106.30,12.01,0.03479,0.01740
8159,0.0210,583.03,474.96,109.20,12.59,0.03475,0.01738
8179,0.0200,583.03,480.82,111.95,13.13,0.03467,0.01734
8199,0.0200,583.03,486.52,114.57,13.64,0.03459,0.01730
8221,0.0220,583.03,492.29,117.08,14.12,0.03461,0.01730
8249,0.0280,582.51,498.61,119.54,14.57,0.03489,0.01745
8269,0.0200,582.51,503.84,121.76,14.99,0.03480,0.01740
8289,0.0200,582.51,508.93,123.86,15.37,0.03472,0.01736
8311,0.0220,582.51,514.11,125.87,15.73,0.03472,0.01736
8332,0.0210,586.26,519.17,127.84,16.09,0.03469,0.01734
8352,0.0200,586.26,523.96,129.68,16.41,0.03460,0.01730
8372,0.0200,586.26,528.62,131.40,16.71,0.03452,0.01726
8394,0.0220,586.26,533.41,133.05,16.99,0.03454,0.01727
8415,0.0210,391.98,531.23,130.04,16.27,0.03450,0.01725
8440,0.0250,391.98,529.55,127.10,15.55,0.03465,0.01733
8460,0.0200,391.98,527.25,124.13,14.85,0.03457,0.01728
8482,0.0220,391.98,525.21,121.22,14.16,0.03458,0.01729
8503,0.0210,245.99,518.03,114.94,12.75,0.03454,0.01727
8523,0.0200,245.99,510.87,108.80,11.39,0.03446,0.01723
8543,0.0200,245.99,503.87,102.82,10.07,0.03439,0.01719
8565,0.0220,245.99,497.19,97.00,8.78,0.03440,0.01720
8586,0.0210,160.89,487.60,89.33,7.11,0.03437,0.01718
8606,0.0200,160.89,478.12,81.88,5.49,0.03430,0.01715
8626,0.0200,160.89,468.84,74.63,3.93,0.03422,0.01711
